Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2004-02-04,488.464
2004-02-05,490.401
2004-02-06,497.177
2004-02-09,499.41
2004-02-10,502.095
2004-02-11,505.202
2004-02-12,507.241
2004-02-13,506.124
2004-02-16,506.987
2004-02-17,511.444
2004-02-18,510.666
2004-02-19,508.071
2004-02-20,504.159
2004-02-23,503.474
2004-02-24,503.055
2004-02-25,504.164
2004-02-26,504.422
2004-02-27,507.955
2004-03-01,514.855
2004-03-02,512.897
2004-03-03,510.975
2004-03-04,513.344
2004-03-05,517.819
2004-03-08,515.573
2004-03-09,513.431
2004-03-10,505.24
2004-03-11,498.155
2004-03-12,501.65
2004-03-15,496.868
2004-03-16,500.145
2004-03-17,506.368
2004-03-18,508.072
2004-03-19,506.246
2004-03-22,500.009
2004-03-23,499.991
2004-03-24,498.354
2004-03-25,503.85
2004-03-26,504.518
2004-03-29,510.563
2004-03-30,513.108
2004-03-31,517.544
2004-04-01,521.961
2004-04-02,522.517
2004-04-05,521.734
2004-04-06,520.36
2004-04-07,521.618
2004-04-08,520.11
2004-04-09,519.326
2004-04-12,519.64
2004-04-13,513.711
2004-04-14,508.112
2004-04-15,507.151
2004-04-16,512.087
2004-04-19,511.683
2004-04-20,508.237
2004-04-21,507.364
2004-04-22,512.321
2004-04-23,512.155
2004-04-26,512.579
2004-04-27,512.97
2004-04-28,506.596
2004-04-29,500.993
2004-04-30,497.635
2004-05-03,499.722
2004-05-04,503.374
2004-05-05,504.951
2004-05-06,498.657
2004-05-07,487.95
2004-05-10,473.697
2004-05-11,477.769
2004-05-12,480.61
2004-05-13,478.884
2004-05-14,478.221
2004-05-17,471.943
2004-05-18,476.247
2004-05-19,481.777
2004-05-20,480.497
2004-05-21,485.374
2004-05-24,488.184
2004-05-25,493.83
2004-05-26,497.426
2004-05-27,501.638
2004-05-28,503.786
2004-05-31,503.752
2004-06-01,504.044
2004-06-02,505.641
2004-06-03,500.62
2004-06-04,503.755
2004-06-07,512.089
2004-06-08,512.085
2004-06-09,507.891
2004-06-10,509.436
2004-06-11,507.614
2004-06-14,502.212
2004-06-15,506.081
2004-06-16,508.008
2004-06-17,509.948
2004-06-18,511.356
2004-06-21,512.619
2004-06-22,513.001
2004-06-23,516.648
2004-06-24,518.795
2004-06-25,519.751
2004-06-28,521.347
2004-06-29,520.425
2004-06-30,523.781
2004-07-01,521.502
2004-07-02,521.863
2004-07-05,520.047
2004-07-06,516.971
2004-07-07,518.864
2004-07-08,515.083
2004-07-09,517.209
2004-07-12,518.379
2004-07-13,517.598
2004-07-14,516.597
2004-07-15,516.089
2004-07-16,517.808
2004-07-19,518.253
2004-07-20,518.712
2004-07-21,513.32
2004-07-22,510.169
2004-07-23,505.816
2004-07-26,503.139
2004-07-27,504.164
2004-07-28,504.889
2004-07-29,507.839
2004-07-30,509.795
2004-08-02,511.172
2004-08-03,509.787
2004-08-04,507.482
2004-08-05,503.583
2004-08-06,500.22
2004-08-09,498.625
2004-08-10,503.655
2004-08-11,501.414
2004-08-12,498.17
2004-08-13,498.442
2004-08-16,503.028
2004-08-17,504.298
2004-08-18,508.17
2004-08-19,509.123
2004-08-20,512.08
2004-08-23,511.087
2004-08-24,511.101
2004-08-25,513.325
2004-08-26,514.829
2004-08-27,516.326
