Date,FRANCE GROWTH Standard (Large+Mid Cap)
2004-06-29,1781.704
2004-06-30,1775.881
2004-07-01,1768.966
2004-07-02,1777.384
2004-07-05,1776.627
2004-07-06,1764.517
2004-07-07,1781.668
2004-07-08,1792.784
2004-07-09,1788.678
2004-07-12,1784.738
2004-07-13,1771.483
2004-07-14,1776.643
2004-07-15,1759.113
2004-07-16,1769.906
2004-07-19,1756.638
2004-07-20,1762.957
2004-07-21,1754.633
2004-07-22,1730.694
2004-07-23,1707.128
2004-07-26,1694.003
2004-07-27,1682.758
2004-07-28,1683.516
2004-07-29,1721.651
2004-07-30,1718.32
2004-08-02,1704.69
2004-08-03,1717.028
2004-08-04,1693.258
2004-08-05,1694.76
2004-08-06,1683.535
2004-08-09,1667.433
2004-08-10,1693.853
2004-08-11,1666.399
2004-08-12,1662.208
2004-08-13,1678.726
2004-08-16,1690.817
2004-08-17,1698.229
2004-08-18,1695.1
2004-08-19,1705.435
2004-08-20,1696.274
2004-08-23,1705.537
2004-08-24,1695.25
2004-08-25,1692.452
2004-08-26,1710.129
2004-08-27,1708.736
2004-08-30,1705.006
2004-08-31,1697.194
2004-09-01,1706.407
2004-09-02,1712.509
2004-09-03,1709.846
2004-09-06,1716.579
2004-09-07,1711.882
2004-09-08,1716.098
2004-09-09,1715.636
2004-09-10,1747.221
2004-09-13,1763.566
2004-09-14,1765.253
2004-09-15,1734.963
2004-09-16,1730.861
2004-09-17,1745.927
2004-09-20,1733.833
2004-09-21,1758.009
2004-09-22,1736.535
2004-09-23,1730.076
2004-09-24,1739.185
2004-09-27,1737.97
2004-09-28,1744.746
2004-09-29,1752.775
2004-09-30,1747.243
2004-10-01,1778.747
2004-10-04,1780.687
2004-10-05,1784.242
2004-10-06,1778.292
2004-10-07,1775.025
2004-10-08,1780.602
2004-10-11,1768.59
2004-10-12,1742.204
2004-10-13,1735.873
2004-10-14,1743.735
2004-10-15,1763.413
2004-10-18,1760.35
2004-10-19,1782.717
2004-10-20,1781.608
2004-10-21,1791.596
2004-10-22,1788.877
2004-10-25,1770.145
2004-10-26,1776.569
2004-10-27,1806.947
2004-10-28,1824.43
2004-10-29,1813.678
2004-11-01,1829.737
2004-11-02,1840.868
2004-11-03,1854.54
2004-11-04,1865.706
2004-11-05,1880.8
2004-11-08,1885.546
2004-11-09,1875.355
2004-11-10,1885.415
2004-11-11,1905.817
2004-11-12,1914.934
2004-11-15,1906.591
2004-11-16,1902.335
2004-11-17,1933.821
2004-11-18,1925.382
2004-11-19,1918.301
2004-11-22,1903.095
2004-11-23,1911.19
2004-11-24,1913.961
2004-11-25,1942.589
2004-11-26,1936.945
2004-11-29,1945.565
2004-11-30,1930.237
2004-12-01,1948.856
2004-12-02,1949.405
2004-12-03,1954.529
2004-12-06,1956.111
2004-12-07,1968.977
2004-12-08,1936.762
2004-12-09,1919.992
2004-12-10,1922.326
2004-12-13,1951.477
2004-12-14,1949.768
2004-12-15,1963.153
2004-12-16,1949.278
2004-12-17,1913.05
2004-12-20,1940.007
2004-12-21,1939.731
2004-12-22,1960.854
2004-12-23,1985.107
2004-12-24,1993.436
2004-12-27,2003.232
2004-12-28,2007.019
2004-12-29,2007.443
2004-12-30,2014.989
2004-12-31,2006.726
2005-01-03,2003.812
2005-01-04,1977.076
2005-01-05,1956.555
2005-01-06,1947.974
2005-01-07,1939.018
2005-01-10,1946.52
2005-01-11,1939.748
2005-01-12,1945.444
2005-01-13,1943.098
2005-01-14,1929.561
2005-01-17,1940.157
2005-01-18,1926.888
2005-01-19,1922.949
2005-01-20,1896.17
2005-01-21,1906.146
2005-01-24,1913.691
2005-01-25,1915.952
2005-01-26,1935.575
2005-01-27,1937.857
2005-01-28,1925.566
2005-01-31,1947.891
2005-02-01,1954.215
2005-02-02,1961.258
2005-02-03,1936.11
2005-02-04,1945.664
2005-02-07,1944.145
2005-02-08,1937.072
2005-02-09,1936.544
2005-02-10,1946.842
2005-02-11,1960.664
2005-02-14,1972.049
2005-02-15,1981.315
2005-02-16,1975.284
2005-02-17,1984.714
2005-02-18,1997.607
2005-02-21,2005.371
2005-02-22,2014.832
2005-02-23,2000.949
2005-02-24,2000.89
2005-02-25,2023.377
2005-02-28,2031.704
2005-03-01,2035.555
2005-03-02,2032.993
2005-03-03,2033.651
2005-03-04,2064.614
2005-03-07,2066.09
2005-03-08,2074.412
2005-03-09,2071.77
2005-03-10,2058.735
2005-03-11,2069.743
2005-03-14,2052.571
2005-03-15,2059.055
2005-03-16,2052.36
2005-03-17,2053.127
2005-03-18,2050.332
2005-03-21,2022.851
2005-03-22,2038.253
2005-03-23,1998.959
2005-03-24,2016.275
2005-03-25,2016.275
2005-03-28,2002.125
2005-03-29,2010.969
2005-03-30,2015.203
2005-03-31,2024.959
2005-04-01,2027.052
2005-04-04,1991.44
2005-04-05,2008.389
2005-04-06,2021.146
2005-04-07,2038.573
2005-04-08,2032.045
2005-04-11,2040.411
2005-04-12,2017.35
2005-04-13,2032.364
2005-04-14,2022.911
2005-04-15,2009.296
2005-04-18,1982.082
2005-04-19,1991.455
2005-04-20,1993.263
2005-04-21,2000.981
2005-04-22,2007.48
2005-04-25,1999.004
2005-04-26,1996.786
2005-04-27,1967.324
2005-04-28,1953.501
2005-04-29,1953.455
2005-05-02,1952.305
2005-05-03,1967.713
2005-05-04,1997.607
2005-05-05,2010.281
2005-05-06,2004.514
2005-05-09,1994.969
2005-05-10,1994.395
2005-05-11,1975.311
2005-05-12,1973.892
2005-05-13,1963.966
2005-05-16,1966.364
2005-05-17,1969.621
2005-05-18,1997.059
2005-05-19,1996.3
2005-05-20,1995.758
2005-05-23,2011.563
2005-05-24,2007.501
2005-05-25,2009.515
2005-05-26,2017.564
2005-05-27,2014.743
2005-05-30,2013.192
2005-05-31,1987.511
2005-06-01,2001.138
2005-06-02,2001.952
