Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2003-12-09,393.525
2003-12-10,391.261
2003-12-11,392.309
2003-12-12,395.874
2003-12-15,399.04
2003-12-16,394.596
2003-12-17,391.227
2003-12-18,393.062
2003-12-19,393.899
2003-12-22,396.192
2003-12-23,396.383
2003-12-24,397.752
2003-12-25,397.898
2003-12-26,398.513
2003-12-29,400.947
2003-12-30,405.774
2003-12-31,406.909
2004-01-01,407.098
2004-01-02,413.199
2004-01-05,423.451
2004-01-06,421.866
2004-01-07,421.677
2004-01-08,424.338
2004-01-09,430.518
2004-01-12,430.173
2004-01-13,430.698
2004-01-14,426.44
2004-01-15,421.161
2004-01-16,421.872
2004-01-19,424.506
2004-01-20,428.759
2004-01-21,427.605
2004-01-22,428.056
2004-01-23,430.693
2004-01-26,432.26
2004-01-27,434.625
2004-01-28,432.008
2004-01-29,424.016
2004-01-30,422.363
2004-02-02,422.002
2004-02-03,422.678
2004-02-04,420.826
2004-02-05,419.178
2004-02-06,423.582
2004-02-09,430.734
2004-02-10,431.534
2004-02-11,433.969
2004-02-12,438.51
2004-02-13,441.152
2004-02-16,440.68
2004-02-17,444.783
2004-02-18,444.77
2004-02-19,440.657
2004-02-20,438.03
2004-02-23,435.932
2004-02-24,432.92
2004-02-25,433.013
2004-02-26,434.755
2004-02-27,439.411
2004-03-01,446.453
2004-03-02,448.957
2004-03-03,442.701
2004-03-04,445.834
2004-03-05,448.789
2004-03-08,446.656
2004-03-09,444.766
2004-03-10,437.153
2004-03-11,431.755
2004-03-12,428.706
2004-03-15,426.337
2004-03-16,426.194
2004-03-17,431.348
2004-03-18,436.075
2004-03-19,438.225
2004-03-22,429.746
2004-03-23,426.424
2004-03-24,426.638
2004-03-25,425.428
2004-03-26,427.909
2004-03-29,434.41
2004-03-30,437.51
2004-03-31,442.089
2004-04-01,445.419
2004-04-02,446.178
2004-04-05,450.1
2004-04-06,453.377
2004-04-07,454.973
2004-04-08,455.422
2004-04-09,453.503
2004-04-12,456.738
2004-04-13,453.571
2004-04-14,447.597
2004-04-15,443.872
2004-04-16,443.054
2004-04-19,442.977
2004-04-20,444.243
2004-04-21,439.926
2004-04-22,435.889
2004-04-23,440.896
2004-04-26,438.003
2004-04-27,435.614
2004-04-28,427.057
2004-04-29,414.481
2004-04-30,406.171
2004-05-03,405.078
2004-05-04,411.311
2004-05-05,409.177
2004-05-06,402.639
2004-05-07,398.059
2004-05-10,378.914
2004-05-11,382.35
2004-05-12,388.455
2004-05-13,384.117
2004-05-14,377.511
2004-05-17,365.007
2004-05-18,371.31
2004-05-19,387.423
2004-05-20,382.826
2004-05-21,388.241
2004-05-24,391.773
2004-05-25,391.518
2004-05-26,395.23
2004-05-27,401.625
2004-05-28,403.302
2004-05-31,400.409
2004-06-01,400.986
2004-06-02,398.325
2004-06-03,388.329
2004-06-04,390.265
2004-06-07,401.27
2004-06-08,401.255
2004-06-09,396.897
2004-06-10,393.447
2004-06-11,385.626
2004-06-14,378.286
2004-06-15,380.342
2004-06-16,380.122
2004-06-17,383.506
2004-06-18,382.051
2004-06-21,383.399
2004-06-22,381.989
2004-06-23,384.506
2004-06-24,392.347
2004-06-25,395.757
2004-06-28,393.34
2004-06-29,393.1
2004-06-30,396.702
2004-07-01,396.603
2004-07-02,393.415
2004-07-05,392.631
2004-07-06,391.868
2004-07-07,393.889
2004-07-08,389.358
2004-07-09,391.573
2004-07-12,391.56
2004-07-13,391.816
2004-07-14,387.905
2004-07-15,385.523
2004-07-16,388.912
2004-07-19,390.176
2004-07-20,386.248
2004-07-21,388.269
2004-07-22,384.173
2004-07-23,382.441
2004-07-26,380.207
2004-07-27,381.007
2004-07-28,380.777
2004-07-29,379.243
2004-07-30,383.415
2004-08-02,380.844
2004-08-03,381.646
2004-08-04,380.333
2004-08-05,383.995
2004-08-06,382.49
2004-08-09,382.882
2004-08-10,383.411
2004-08-11,380.056
2004-08-12,381.834
2004-08-13,383.369
2004-08-16,383.393
2004-08-17,385.354
2004-08-18,387.247
2004-08-19,393.255
2004-08-20,392.903
2004-08-23,392.538
2004-08-24,393.558
2004-08-25,395.468
2004-08-26,398.986
2004-08-27,399.135
2004-08-30,399.823
2004-08-31,400.771
2004-09-01,404.8
2004-09-02,406.415
2004-09-03,402.673
2004-09-06,404.045
2004-09-07,404.661
2004-09-08,404.979
2004-09-09,405.536
2004-09-10,410.027
2004-09-13,414.155
2004-09-14,417.646
2004-09-15,415.721
2004-09-16,419.214
2004-09-17,419.512
2004-09-20,421.545
2004-09-21,425.167
2004-09-22,421.737
2004-09-23,420.49
2004-09-24,419.551
2004-09-27,417.235
2004-09-28,418.815
2004-09-29,420.333
2004-09-30,422.412
2004-10-01,427.65
2004-10-04,437.082
2004-10-05,436.286
2004-10-06,436.126
2004-10-07,436.208
2004-10-08,435.849
2004-10-11,434.077
2004-10-12,426.711
2004-10-13,423.402
2004-10-14,421.747
2004-10-15,423.336
2004-10-18,423.499
2004-10-19,426.083
2004-10-20,420.672
2004-10-21,423.38
2004-10-22,425.372
2004-10-25,422.014
2004-10-26,423.509
2004-10-27,426.69
2004-10-28,429.586
2004-10-29,431.51
2004-11-01,433.254
2004-11-02,436.023
2004-11-03,443.081
2004-11-04,443.877
2004-11-05,446.379
2004-11-08,443.844
2004-11-09,445.15
2004-11-10,447.52
2004-11-11,447.5
2004-11-12,452.641
2004-11-15,456.534
2004-11-16,456.051
2004-11-17,463.627
2004-11-18,464.813
2004-11-19,462.781
2004-11-22,458.302
2004-11-23,460.33
2004-11-24,463.83
2004-11-25,465.88
2004-11-26,466.208
2004-11-29,468.971
2004-11-30,471.629
2004-12-01,471.543
2004-12-02,474.247
2004-12-03,473.804
2004-12-06,474.769
2004-12-07,471.893
2004-12-08,465.314
2004-12-09,461.481
2004-12-10,458.865
2004-12-13,462.217
2004-12-14,466.933
2004-12-15,473.327
2004-12-16,476.323
2004-12-17,475.782
2004-12-20,479.786
2004-12-21,481.489
2004-12-22,481.854
2004-12-23,483.189
2004-12-24,484.333
2004-12-27,485.077
2004-12-28,486.798
2004-12-29,489.829
2004-12-30,492.191
2004-12-31,495.498
2005-01-03,496.151
2005-01-04,486.821
2005-01-05,479.572
2005-01-06,472.192
2005-01-07,473.769
2005-01-10,474.332
2005-01-11,476.042
2005-01-12,476.158
2005-01-13,478.584
2005-01-14,482.917
2005-01-17,487.001
2005-01-18,483.257
2005-01-19,483.345
2005-01-20,479.469
2005-01-21,481.329
2005-01-24,482.728
2005-01-25,482.887
2005-01-26,487.311
2005-01-27,488.315
2005-01-28,490.71
2005-01-31,497.681
2005-02-01,496.393
2005-02-02,497.199
2005-02-03,498.759
2005-02-04,501.393
2005-02-07,503.441
2005-02-08,501.71
2005-02-09,503.571
2005-02-10,503.244
2005-02-11,505.963
2005-02-14,513.81
2005-02-15,515.313
2005-02-16,514.918
2005-02-17,515.733
2005-02-18,519.081
2005-02-21,520.781
2005-02-22,524.305
2005-02-23,523.519
2005-02-24,529.006
2005-02-25,531.66
2005-02-28,537.219
2005-03-01,536.409
2005-03-02,530.267
2005-03-03,532.012
2005-03-04,534.104
2005-03-07,535.992
2005-03-08,535.758
2005-03-09,536.654
2005-03-10,531.551
2005-03-11,535.795
2005-03-14,528.191
2005-03-15,518.982
2005-03-16,517.604
