Date,SPAIN Standard (Large+Mid Cap)
2004-03-30,2479.466
2004-03-31,2503.214
2004-04-01,2542.972
2004-04-02,2556.057
2004-04-05,2531.87
2004-04-06,2541.276
2004-04-07,2568.95
2004-04-08,2584.085
2004-04-09,2584.085
2004-04-12,2576.826
2004-04-13,2562.034
2004-04-14,2537.129
2004-04-15,2526.965
2004-04-16,2571.981
2004-04-19,2556.979
2004-04-20,2543.689
2004-04-21,2505.751
2004-04-22,2507.408
2004-04-23,2511.361
2004-04-26,2527.174
2004-04-27,2536.963
2004-04-28,2484.692
2004-04-29,2482.944
2004-04-30,2476.437
2004-05-03,2491.894
2004-05-04,2511.273
2004-05-05,2547.832
2004-05-06,2500.965
2004-05-07,2437.565
2004-05-10,2362.933
2004-05-11,2382.87
2004-05-12,2374.858
2004-05-13,2374.308
2004-05-14,2358.446
2004-05-17,2354.672
2004-05-18,2364.982
2004-05-19,2435.421
2004-05-20,2388.703
2004-05-21,2402.149
2004-05-24,2417.371
2004-05-25,2432.537
2004-05-26,2455.772
2004-05-27,2503.464
2004-05-28,2486.633
2004-05-31,2489.682
2004-06-01,2456.671
2004-06-02,2486.004
2004-06-03,2478.861
2004-06-04,2512.057
2004-06-07,2559.658
2004-06-08,2547.651
2004-06-09,2502.606
2004-06-10,2511.215
2004-06-11,2482.599
2004-06-14,2467.456
2004-06-15,2486.757
2004-06-16,2487.365
2004-06-17,2503.597
2004-06-18,2523.581
2004-06-21,2523.293
2004-06-22,2501.474
2004-06-23,2515.931
2004-06-24,2550.921
2004-06-25,2528.635
2004-06-28,2559.396
2004-06-29,2526.903
2004-06-30,2521.71
2004-07-01,2534.432
2004-07-02,2547.59
2004-07-05,2552.603
2004-07-06,2540.096
2004-07-07,2573.603
2004-07-08,2589.893
2004-07-09,2573.626
2004-07-12,2581.353
2004-07-13,2571.989
2004-07-14,2571.254
2004-07-15,2552.674
2004-07-16,2577.557
2004-07-19,2563.053
2004-07-20,2555.641
2004-07-21,2537.264
2004-07-22,2513.579
2004-07-23,2456.85
2004-07-26,2428.371
