Date,USA LARGE VALUE Large Cap
2004-11-01,674.997
2004-11-02,673.759
2004-11-03,681.619
2004-11-04,694.413
2004-11-05,695.509
2004-11-08,694.587
2004-11-09,694.124
2004-11-10,694.949
2004-11-11,700.629
2004-11-12,706.983
2004-11-15,704.281
2004-11-16,700.41
2004-11-17,704.374
2004-11-18,705.026
2004-11-19,698.543
2004-11-22,702.245
2004-11-23,702.895
2004-11-24,704.847
2004-11-25,704.847
2004-11-26,706.018
2004-11-29,703.123
2004-11-30,702.006
2004-12-01,711.075
2004-12-02,708.862
2004-12-03,708.266
2004-12-06,707.287
2004-12-07,700.124
2004-12-08,702.992
2004-12-09,705.493
2004-12-10,705.675
2004-12-13,713.447
2004-12-14,714.719
2004-12-15,717.806
2004-12-16,716.432
2004-12-17,708.792
2004-12-20,710.118
2004-12-21,717.038
2004-12-22,720.362
2004-12-23,721.079
2004-12-24,721.079
2004-12-27,717.541
2004-12-28,721.732
2004-12-29,721.43
2004-12-30,720.835
2004-12-31,719.878
2005-01-03,713.989
2005-01-04,707.937
2005-01-05,706.022
2005-01-06,709.678
2005-01-07,707.046
2005-01-10,708.821
2005-01-11,704.215
2005-01-12,706.351
2005-01-13,700.77
2005-01-14,704.405
2005-01-17,704.405
2005-01-18,712.869
2005-01-19,705.761
2005-01-20,701.695
2005-01-21,697.359
2005-01-24,698.044
2005-01-25,699.98
2005-01-26,702.936
2005-01-27,703.075
2005-01-28,700.597
2005-01-31,706.937
2005-02-01,712.93
2005-02-02,714.947
2005-02-03,713.996
2005-02-04,722.34
2005-02-07,722.645
2005-02-08,723.55
2005-02-09,719.234
2005-02-10,722.147
2005-02-11,725.852
2005-02-14,727.675
2005-02-15,728.709
2005-02-16,729.062
2005-02-17,723.358
2005-02-18,725.408
2005-02-21,725.408
2005-02-22,714.763
2005-02-23,720.02
2005-02-24,726.088
2005-02-25,734.314
2005-02-28,729.645
2005-03-01,732.081
2005-03-02,732.778
2005-03-03,732.778
2005-03-04,740.641
2005-03-07,741.031
2005-03-08,738.418
2005-03-09,728.766
2005-03-10,730.097
2005-03-11,726.185
2005-03-14,731.277
2005-03-15,725.725
2005-03-16,720.013
2005-03-17,721.324
2005-03-18,722.508
2005-03-21,717.657
2005-03-22,708.239
2005-03-23,707.79
2005-03-24,706.662
2005-03-25,706.662
2005-03-28,708.846
2005-03-29,703.977
2005-03-30,713.87
2005-03-31,715.134
2005-04-01,711.805
2005-04-04,712.487
2005-04-05,714.681
2005-04-06,718.644
2005-04-07,721.93
2005-04-08,716.008
2005-04-11,716.838
2005-04-12,721.359
2005-04-13,713.569
2005-04-14,707.557
2005-04-15,696.528
2005-04-18,699.692
2005-04-19,703.944
2005-04-20,693.77
2005-04-21,705.904
2005-04-22,704.089
2005-04-25,709.899
2005-04-26,703.845
2005-04-27,706.879
2005-04-28,698.295
2005-04-29,708.418
2005-05-02,711.286
2005-05-03,709.503
2005-05-04,718.522
2005-05-05,716.346
2005-05-06,713.708
2005-05-09,718.529
2005-05-10,710.173
2005-05-11,712.861
2005-05-12,703.813
2005-05-13,698.375
2005-05-16,705.354
2005-05-17,710.568
2005-05-18,717.093
2005-05-19,721.095
2005-05-20,719.694
2005-05-23,722.622
2005-05-24,722.168
2005-05-25,720.474
2005-05-26,724.413
2005-05-27,725.153
2005-05-30,725.153
2005-05-31,720.018
2005-06-01,726.942
2005-06-02,726.86
2005-06-03,723.017
2005-06-06,723.887
2005-06-07,723.877
2005-06-08,722.816
2005-06-09,726.433
2005-06-10,727.06
2005-06-13,728.171
2005-06-14,729.694
2005-06-15,732.04
2005-06-16,735.541
2005-06-17,740.789
2005-06-20,740.042
2005-06-21,737.41
2005-06-22,737.799
2005-06-23,729.864
2005-06-24,725.137
2005-06-27,725.34
2005-06-28,729.679
2005-06-29,729.109
2005-06-30,723.07
2005-07-01,725.932
2005-07-04,725.932
2005-07-05,732.164
2005-07-06,725.234
2005-07-07,726.428
2005-07-08,733.652
2005-07-11,737.533
2005-07-12,738.615
2005-07-13,740.017
2005-07-14,741.431
2005-07-15,742.013
2005-07-18,735.887
2005-07-19,738.783
2005-07-20,741.082
2005-07-21,735.104
2005-07-22,740.419
2005-07-25,738.551
2005-07-26,738.545
2005-07-27,741.255
2005-07-28,744.918
2005-07-29,738.74
2005-08-01,738.541
2005-08-02,742.77
2005-08-03,743.442
2005-08-04,738.896
2005-08-05,732.039
2005-08-08,731.458
2005-08-09,736.795
2005-08-10,737.087
2005-08-11,742.906
2005-08-12,739.052
2005-08-15,740.217
2005-08-16,732.794
2005-08-17,732.499
2005-08-18,732.29
2005-08-19,733.373
2005-08-22,734.81
2005-08-23,732.104
2005-08-24,726.922
2005-08-25,728.168
2005-08-26,723.085
2005-08-29,726.866
2005-08-30,725.507
2005-08-31,733.356
2005-09-01,735.943
2005-09-02,734.047
2005-09-05,734.047
2005-09-06,741.996
2005-09-07,743.893
2005-09-08,741.723
2005-09-09,748.716
2005-09-12,747.639
2005-09-13,742.307
2005-09-14,742.209
2005-09-15,742.875
2005-09-16,751.32
2005-09-19,748.342
2005-09-20,743.412
2005-09-21,736.78
2005-09-22,738.15
2005-09-23,737.413
2005-09-26,738.97
2005-09-27,739.014
2005-09-28,739.914
2005-09-29,746.206
2005-09-30,743.842
2005-10-03,741.783
2005-10-04,732.779
2005-10-05,722.923
2005-10-06,721.409
2005-10-07,724.579
2005-10-10,718.701
2005-10-11,718.496
2005-10-12,714.059
2005-10-13,711.725
2005-10-14,717.133
2005-10-17,719.793
2005-10-18,710.777
2005-10-19,720.058
2005-10-20,706.228
2005-10-21,707.665
2005-10-24,720.675
2005-10-25,720.731
2005-10-26,718.874
2005-10-27,713.387
2005-10-28,725.352
2005-10-31,728.009
2005-11-01,726.458
2005-11-02,732.722
2005-11-03,735.947
