Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
2004-08-23,3593.647
2004-08-24,3571.389
2004-08-25,3555.444
2004-08-26,3585.826
2004-08-27,3581.052
2004-08-30,3574.688
2004-08-31,3584.613
2004-09-01,3614.562
2004-09-02,3611.038
2004-09-03,3632.866
2004-09-06,3660.536
2004-09-07,3671.174
2004-09-08,3682.047
2004-09-09,3663.886
2004-09-10,3704.815
2004-09-13,3709.616
2004-09-14,3693.558
2004-09-15,3655.288
2004-09-16,3647.812
2004-09-17,3659.164
2004-09-20,3641.847
2004-09-21,3718.782
2004-09-22,3682.393
2004-09-23,3652.927
2004-09-24,3627.552
2004-09-27,3604.117
2004-09-28,3637.993
2004-09-29,3662.379
2004-09-30,3657.181
2004-10-01,3699.798
2004-10-04,3697.745
2004-10-05,3713.457
2004-10-06,3712.378
2004-10-07,3694.415
2004-10-08,3723.707
2004-10-11,3696.491
2004-10-12,3641.173
2004-10-13,3658.235
2004-10-14,3665.874
2004-10-15,3662.555
2004-10-18,3668.965
2004-10-19,3695.409
2004-10-20,3694.222
2004-10-21,3720.421
2004-10-22,3718.15
2004-10-25,3721.389
2004-10-26,3741.616
2004-10-27,3770.781
2004-10-28,3812.624
2004-10-29,3772.431
2004-11-01,3815.566
2004-11-02,3850.773
2004-11-03,3917.245
2004-11-04,3961.449
2004-11-05,4022.811
2004-11-08,4039.149
2004-11-09,4015.456
2004-11-10,4044.657
2004-11-11,4090.665
2004-11-12,4121.922
2004-11-15,4109.888
2004-11-16,4110.68
2004-11-17,4174.033
2004-11-18,4155.208
2004-11-19,4159.971
2004-11-22,4115.586
2004-11-23,4108.867
2004-11-24,4121.993
2004-11-25,4188.575
2004-11-26,4189.436
2004-11-29,4165.605
2004-11-30,4126.642
2004-12-01,4142.9
2004-12-02,4154.492
2004-12-03,4204.493
2004-12-06,4188.155
2004-12-07,4219.573
2004-12-08,4164.044
2004-12-09,4156.089
2004-12-10,4152.902
2004-12-13,4214.565
2004-12-14,4224.882
2004-12-15,4279.768
2004-12-16,4215.332
2004-12-17,4165.511
2004-12-20,4245.988
2004-12-21,4213.213
2004-12-22,4255.15
2004-12-23,4297.944
2004-12-24,4304.155
2004-12-27,4318.708
2004-12-28,4306.64
2004-12-29,4307.863
2004-12-30,4318.178
2004-12-31,4303.937
2005-01-03,4326.636
2005-01-04,4265.221
2005-01-05,4228.643
2005-01-06,4218.056
2005-01-07,4174.704
2005-01-10,4195.843
2005-01-11,4207.135
2005-01-12,4240.137
2005-01-13,4208.742
2005-01-14,4195.06
2005-01-17,4222.274
2005-01-18,4185.595
2005-01-19,4209.029
2005-01-20,4167.162
2005-01-21,4177.038
2005-01-24,4207.224
2005-01-25,4185.941
2005-01-26,4232.582
2005-01-27,4235.392
2005-01-28,4212.314
2005-01-31,4228.319
2005-02-01,4227.993
2005-02-02,4261.138
2005-02-03,4230.764
2005-02-04,4259.369
2005-02-07,4240.952
2005-02-08,4229.452
2005-02-09,4219.498
2005-02-10,4267.035
2005-02-11,4302.47
2005-02-14,4335.372
2005-02-15,4356.075
2005-02-16,4323.842
2005-02-17,4390.027
2005-02-18,4402.146
2005-02-21,4385.93
2005-02-22,4443.563
2005-02-23,4410.563
2005-02-24,4426.815
2005-02-25,4465.586
2005-02-28,4511.383
2005-03-01,4521.129
2005-03-02,4495.631
2005-03-03,4488.698
2005-03-04,4550.806
2005-03-07,4527.547
2005-03-08,4578.624
2005-03-09,4572.562
2005-03-10,4590.824
2005-03-11,4624.293
2005-03-14,4594.009
2005-03-15,4582.604
2005-03-16,4590.138
2005-03-17,4547.888
2005-03-18,4483.406
2005-03-21,4426.889
2005-03-22,4437.389
2005-03-23,4373.254
2005-03-24,4370.705
2005-03-25,4370.705
2005-03-28,4344.794
2005-03-29,4365.202
2005-03-30,4382.926
2005-03-31,4403.499
2005-04-01,4391.961
2005-04-04,4305.036
2005-04-05,4336.966
2005-04-06,4366.704
2005-04-07,4427.319
2005-04-08,4405.374
2005-04-11,4446.82
2005-04-12,4392.581
2005-04-13,4425.795
2005-04-14,4377.415
2005-04-15,4372.483
2005-04-18,4356.792
2005-04-19,4381.484
2005-04-20,4354.044
2005-04-21,4343.645
2005-04-22,4347.417
2005-04-25,4316.456
2005-04-26,4300.593
2005-04-27,4241.303
2005-04-28,4221.017
2005-04-29,4236.638
2005-05-02,4245.568
2005-05-03,4257.848
2005-05-04,4334.286
2005-05-05,4310.916
2005-05-06,4307.09
2005-05-09,4282.371
2005-05-10,4239.809
2005-05-11,4225.001
2005-05-12,4207.939
2005-05-13,4177.579
2005-05-16,4170.069
2005-05-17,4180.375
2005-05-18,4221.015
2005-05-19,4227.856
2005-05-20,4189.106
2005-05-23,4214.349
2005-05-24,4222.425
2005-05-25,4229.291
2005-05-26,4227.632
2005-05-27,4240.354
2005-05-30,4237.268
2005-05-31,4185.793
2005-06-01,4223.986
2005-06-02,4246.869
