Date,FRANCE SMALL VALUE Small Cap
2004-10-20,402.116
2004-10-21,403.28
2004-10-22,405.135
2004-10-25,405.134
2004-10-26,406.242
2004-10-27,409.055
2004-10-28,408.852
2004-10-29,407.476
2004-11-01,410.518
2004-11-02,410.948
2004-11-03,414.846
2004-11-04,416.834
2004-11-05,420.421
2004-11-08,423.74
2004-11-09,423.798
2004-11-10,426.289
2004-11-11,428.933
2004-11-12,429.663
2004-11-15,424.891
2004-11-16,423.683
2004-11-17,430.326
2004-11-18,431.093
2004-11-19,431.261
2004-11-22,431.272
2004-11-23,434.339
2004-11-24,437.014
2004-11-25,439.682
2004-11-26,441.234
2004-11-29,442.726
2004-11-30,442.891
2004-12-01,443.974
2004-12-02,445.745
2004-12-03,449.388
2004-12-06,452.107
2004-12-07,454.064
2004-12-08,448.366
2004-12-09,445.019
2004-12-10,445.042
2004-12-13,448.229
2004-12-14,448.546
2004-12-15,455.573
2004-12-16,455.195
2004-12-17,456.467
2004-12-20,462.684
2004-12-21,459.317
2004-12-22,460.03
2004-12-23,466.321
2004-12-24,467.135
2004-12-27,469.503
2004-12-28,469.132
2004-12-29,469.865
2004-12-30,472.771
2004-12-31,472.521
2005-01-03,470.795
2005-01-04,465.049
2005-01-05,462.199
2005-01-06,462.815
2005-01-07,461.8
2005-01-10,464.369
2005-01-11,465.06
2005-01-12,470.498
2005-01-13,470.835
2005-01-14,469.237
2005-01-17,470.43
2005-01-18,471.299
2005-01-19,472.438
2005-01-20,468.445
2005-01-21,473.975
2005-01-24,475.743
2005-01-25,475.799
2005-01-26,482.378
2005-01-27,484.803
2005-01-28,487.344
2005-01-31,490.525
2005-02-01,490.145
2005-02-02,493.265
2005-02-03,490.401
2005-02-04,494.1
2005-02-07,493.194
2005-02-08,492.709
2005-02-09,493.066
2005-02-10,495.022
2005-02-11,495.873
2005-02-14,499.799
2005-02-15,504.245
2005-02-16,504.587
2005-02-17,507.834
2005-02-18,508.317
2005-02-21,505.978
2005-02-22,508.878
2005-02-23,504.498
2005-02-24,507.44
2005-02-25,510.395
2005-02-28,514.819
2005-03-01,512.888
2005-03-02,510.281
2005-03-03,509.15
2005-03-04,516.061
2005-03-07,515.778
2005-03-08,520.857
2005-03-09,522.882
2005-03-10,520.203
2005-03-11,520.092
2005-03-14,517.385
2005-03-15,516.324
2005-03-16,516.472
2005-03-17,515.21
2005-03-18,512.441
2005-03-21,505.927
2005-03-22,508.483
2005-03-23,499.255
2005-03-24,500.412
2005-03-25,500.412
2005-03-28,496.9
2005-03-29,497.124
2005-03-30,498.437
2005-03-31,502.879
2005-04-01,503.336
2005-04-04,495.947
2005-04-05,498.846
2005-04-06,502.752
2005-04-07,508.043
2005-04-08,505.619
2005-04-11,510.704
2005-04-12,506.235
2005-04-13,509.18
2005-04-14,504.905
2005-04-15,504.324
2005-04-18,496.963
2005-04-19,501.504
2005-04-20,504.262
2005-04-21,503.837
2005-04-22,504.163
2005-04-25,498.871
2005-04-26,498.023
2005-04-27,492.509
2005-04-28,488.049
2005-04-29,489.784
2005-05-02,487.55
2005-05-03,490.97
2005-05-04,492.962
2005-05-05,495.642
2005-05-06,492.584
2005-05-09,492.465
2005-05-10,493.293
2005-05-11,490.559
2005-05-12,487.185
2005-05-13,484.546
2005-05-16,484.234
2005-05-17,485.965
2005-05-18,490.051
2005-05-19,492.594
2005-05-20,492.559
2005-05-23,497.236
2005-05-24,497.377
2005-05-25,499.905
2005-05-26,500.847
2005-05-27,501.799
2005-05-30,498.695
2005-05-31,497.146
2005-06-01,499.166
2005-06-02,503.08
2005-06-03,501.741
2005-06-06,502.46
2005-06-07,506.592
2005-06-08,511.184
2005-06-09,504.479
2005-06-10,501.681
2005-06-13,501.529
2005-06-14,503.498
2005-06-15,505.599
2005-06-16,507.11
2005-06-17,514.797
2005-06-20,508.859
2005-06-21,507.186
2005-06-22,508.542
2005-06-23,504.985
2005-06-24,503.789
2005-06-27,503.547
2005-06-28,502.317
2005-06-29,504.15
2005-06-30,508.19
2005-07-01,506.399
2005-07-04,503.035
2005-07-05,503.764
2005-07-06,506.49
2005-07-07,502.394
