Date,SWEDEN GROWTH Standard (Large+Mid Cap)
2003-10-01,2803.52
2003-10-02,2820.844
2003-10-03,2883.366
2003-10-06,2918.606
2003-10-07,2938.01
2003-10-08,2964.776
2003-10-09,2968.665
2003-10-10,2959.131
2003-10-13,2973.476
2003-10-14,3015.492
2003-10-15,2997.741
2003-10-16,2974.449
2003-10-17,2947.74
2003-10-20,2945.328
2003-10-21,2956.712
2003-10-22,2918.88
2003-10-23,2914.76
2003-10-24,2952.297
2003-10-27,2977.739
2003-10-28,3001.212
2003-10-29,3005.881
2003-10-30,2998.224
2003-10-31,2952.16
2003-11-03,2933.523
2003-11-04,2949.769
2003-11-05,2907.359
2003-11-06,2917.835
2003-11-07,2992.268
2003-11-10,2980.495
2003-11-11,2958.95
2003-11-12,3007.055
2003-11-13,3054.871
2003-11-14,3102.038
2003-11-17,3053.805
2003-11-18,3078.137
2003-11-19,3053.945
2003-11-20,3034.711
2003-11-21,3036.526
2003-11-24,3041.893
2003-11-25,3038.599
2003-11-26,3041.434
2003-11-27,3076.944
2003-11-28,3075.013
2003-12-01,3128.604
2003-12-02,3171.63
2003-12-03,3184.026
2003-12-04,3202.148
2003-12-05,3185.283
2003-12-08,3171.857
2003-12-09,3161.114
2003-12-10,3153.456
2003-12-11,3125.046
2003-12-12,3159.423
2003-12-15,3163.775
2003-12-16,3108.567
2003-12-17,3086.2
2003-12-18,3129.169
2003-12-19,3141.15
2003-12-22,3150.962
2003-12-23,3200.303
2003-12-24,3203.15
2003-12-25,3203.15
2003-12-26,3199.406
2003-12-29,3281.505
2003-12-30,3278.099
2003-12-31,3298.167
2004-01-01,3298.167
2004-01-02,3346.786
2004-01-05,3361.42
2004-01-06,3363.205
2004-01-07,3318.813
2004-01-08,3431.502
2004-01-09,3495.757
2004-01-12,3516.467
2004-01-13,3519.043
2004-01-14,3510.157
2004-01-15,3507.244
2004-01-16,3511.199
2004-01-19,3543.564
2004-01-20,3550.963
2004-01-21,3542.077
2004-01-22,3586.084
2004-01-23,3582.749
2004-01-26,3569.034
2004-01-27,3582.906
2004-01-28,3555.182
2004-01-29,3452.055
2004-01-30,3521.238
2004-02-02,3513.222
2004-02-03,3566.647
2004-02-04,3553.797
2004-02-05,3617.146
2004-02-06,3841.025
2004-02-09,3854.618
2004-02-10,3904.543
2004-02-11,3892.295
2004-02-12,3925.348
2004-02-13,3890.161
2004-02-16,3921.119
2004-02-17,3924.817
2004-02-18,3968.423
2004-02-19,3941.989
2004-02-20,3853.511
2004-02-23,3866.927
2004-02-24,3807.717
2004-02-25,3784.722
2004-02-26,3782.745
2004-02-27,3793.247
2004-03-01,3830.378
2004-03-02,3828.356
2004-03-03,3833.07
2004-03-04,3835.853
2004-03-05,3935.3
2004-03-08,3916.788
2004-03-09,3843.053
2004-03-10,3761.164
2004-03-11,3620.51
2004-03-12,3615.192
2004-03-15,3595.461
2004-03-16,3650.097
2004-03-17,3672.684
2004-03-18,3623.84
2004-03-19,3625.503
2004-03-22,3531.045
2004-03-23,3545.169
2004-03-24,3497.834
2004-03-25,3564.762
2004-03-26,3541.1
2004-03-29,3628.296
2004-03-30,3622.429
2004-03-31,3668.25
2004-04-01,3829.887
2004-04-02,3807.715
2004-04-05,3828.497
2004-04-06,3814.607
2004-04-07,3899.885
2004-04-08,3879.396
2004-04-09,3879.396
2004-04-12,3859.648
2004-04-13,3807.593
2004-04-14,3748.717
2004-04-15,3739.699
2004-04-16,3773.757
2004-04-19,3785.976
2004-04-20,3829.331
2004-04-21,3774.36
2004-04-22,3859.991
2004-04-23,3802.551
2004-04-26,3768.125
2004-04-27,3768.329
2004-04-28,3660.771
2004-04-29,3678.023
2004-04-30,3641.796
2004-05-03,3663.456
2004-05-04,3689.514
2004-05-05,3763.056
2004-05-06,3652.364
2004-05-07,3598.523
2004-05-10,3407.596
2004-05-11,3466.964
2004-05-12,3416.672
2004-05-13,3495.005
2004-05-14,3468.559
2004-05-17,3440.989
2004-05-18,3481.074
2004-05-19,3605.915
2004-05-20,3579.269
2004-05-21,3599.003
2004-05-24,3586.72
2004-05-25,3577.598
2004-05-26,3614.639
2004-05-27,3710.629
2004-05-28,3709.826
2004-05-31,3709.826
2004-06-01,3657.599
2004-06-02,3693.351
2004-06-03,3676.765
2004-06-04,3761.146
2004-06-07,3861.41
2004-06-08,3860.694
2004-06-09,3749.507
2004-06-10,3721.547
2004-06-11,3690.95
2004-06-14,3640.85
2004-06-15,3684.126
2004-06-16,3696.489
2004-06-17,3690.406
2004-06-18,3681.288
2004-06-21,3670.795
2004-06-22,3633.19
2004-06-23,3740.188
2004-06-24,3851.25
2004-06-25,3841.73
2004-06-28,3883.259
2004-06-29,3860.379
2004-06-30,3852.923
2004-07-01,3879.453
2004-07-02,3880.452
2004-07-05,3831.503
2004-07-06,3783.183
2004-07-07,3828.689
2004-07-08,3818.566
2004-07-09,3759.31
2004-07-12,3682.977
2004-07-13,3683.772
2004-07-14,3770.163
2004-07-15,3643.707
2004-07-16,3705.267
2004-07-19,3636.529
2004-07-20,3633.186
2004-07-21,3744.858
2004-07-22,3643.375
2004-07-23,3580.575
2004-07-26,3512.614
2004-07-27,3578.893
2004-07-28,3550.77
2004-07-29,3612.033
2004-07-30,3599.085
2004-08-02,3572.715
2004-08-03,3594.29
2004-08-04,3558.527
2004-08-05,3592.524
2004-08-06,3538.059
2004-08-09,3492.792
2004-08-10,3555.79
2004-08-11,3422.906
2004-08-12,3364.374
2004-08-13,3402.714
2004-08-16,3448.357
2004-08-17,3499.749
2004-08-18,3519.634
2004-08-19,3566.635
2004-08-20,3552.269
2004-08-23,3621.539
2004-08-24,3576.691
2004-08-25,3605.381
2004-08-26,3626.185
2004-08-27,3622.175
2004-08-30,3627.27
2004-08-31,3605.055
2004-09-01,3672.253
2004-09-02,3669.447
2004-09-03,3611.112
2004-09-06,3607.496
2004-09-07,3578.83
2004-09-08,3585.943
2004-09-09,3586.806
2004-09-10,3691.544
2004-09-13,3799.941
2004-09-14,3782.952
2004-09-15,3743.704
2004-09-16,3746.281
2004-09-17,3789.665
2004-09-20,3797.292
2004-09-21,3851.035
2004-09-22,3870.763
2004-09-23,3912.103
2004-09-24,3888.731
2004-09-27,3871.816
2004-09-28,3879.592
2004-09-29,3990.431
2004-09-30,3977.748
2004-10-01,4058.465
2004-10-04,4064.905
2004-10-05,4078.908
2004-10-06,4062.431
2004-10-07,4078.855
2004-10-08,4076.099
2004-10-11,4048.328
2004-10-12,3982.595
2004-10-13,4044.736
2004-10-14,4015.273
2004-10-15,4016.629
2004-10-18,4033.585
2004-10-19,4106.4
2004-10-20,4051.305
2004-10-21,3994.722
2004-10-22,3867.82
2004-10-25,3805.009
2004-10-26,3873.028
2004-10-27,3925.852
2004-10-28,3927.5
2004-10-29,3900.687
2004-11-01,3972.048
2004-11-02,4048.72
2004-11-03,4097.413
2004-11-04,4055.514
2004-11-05,4080.952
2004-11-08,4141.484
2004-11-09,4097.91
2004-11-10,4120.213
2004-11-11,4172.467
2004-11-12,4285.469
2004-11-15,4309.363
2004-11-16,4304.905
2004-11-17,4355.756
2004-11-18,4359.452
2004-11-19,4349.23
2004-11-22,4305.368
2004-11-23,4336.318
2004-11-24,4369.888
2004-11-25,4416.735
2004-11-26,4394.923
2004-11-29,4431.875
2004-11-30,4397.242
2004-12-01,4450.049
2004-12-02,4459.061
2004-12-03,4478.076
2004-12-06,4478.322
2004-12-07,4531.199
2004-12-08,4392.785
2004-12-09,4306.906
2004-12-10,4326.805
2004-12-13,4376.884
2004-12-14,4383.393
2004-12-15,4401.919
2004-12-16,4383.646
2004-12-17,4311.024
2004-12-20,4424.281
2004-12-21,4393.445
2004-12-22,4408.738
2004-12-23,4409.85
2004-12-24,4436.095
2004-12-27,4473.515
2004-12-28,4474.0
2004-12-29,4496.285
2004-12-30,4498.271
2004-12-31,4477.084
2005-01-03,4481.307
2005-01-04,4471.733
2005-01-05,4412.004
2005-01-06,4362.993
2005-01-07,4308.956
2005-01-10,4388.744
2005-01-11,4359.605
2005-01-12,4277.157
2005-01-13,4283.046
2005-01-14,4291.656
2005-01-17,4345.23
2005-01-18,4321.948
2005-01-19,4328.414
2005-01-20,4230.09
2005-01-21,4239.177
2005-01-24,4203.831
2005-01-25,4227.846
2005-01-26,4275.39
2005-01-27,4300.41
2005-01-28,4246.433
2005-01-31,4282.912
2005-02-01,4339.56
2005-02-02,4364.998
2005-02-03,4297.355
2005-02-04,4321.767
2005-02-07,4363.359
2005-02-08,4323.613
2005-02-09,4398.412
2005-02-10,4255.76
2005-02-11,4267.749
2005-02-14,4329.835
2005-02-15,4360.125
2005-02-16,4328.767
2005-02-17,4330.623
2005-02-18,4282.936
2005-02-21,4287.615
2005-02-22,4361.88
2005-02-23,4339.018
2005-02-24,4358.627
2005-02-25,4428.38
2005-02-28,4456.172
2005-03-01,4431.572
2005-03-02,4432.263
2005-03-03,4448.4
2005-03-04,4539.412
2005-03-07,4498.149
2005-03-08,4496.087
2005-03-09,4514.655
2005-03-10,4480.086
2005-03-11,4532.686
2005-03-14,4500.358
2005-03-15,4499.665
2005-03-16,4455.344
2005-03-17,4439.483
2005-03-18,4393.286
2005-03-21,4333.861
2005-03-22,4376.78
2005-03-23,4346.404
2005-03-24,4335.915
2005-03-25,4335.915
2005-03-28,4306.09
2005-03-29,4296.357
2005-03-30,4300.837
2005-03-31,4299.007
2005-04-01,4331.668
2005-04-04,4251.518
2005-04-05,4299.443
2005-04-06,4364.805
2005-04-07,4405.218
2005-04-08,4411.527
2005-04-11,4485.141
2005-04-12,4435.282
2005-04-13,4487.246
2005-04-14,4459.872
2005-04-15,4405.179
2005-04-18,4364.903
2005-04-19,4377.566
2005-04-20,4396.16
2005-04-21,4468.82
2005-04-22,4565.778
2005-04-25,4522.007
2005-04-26,4503.515
2005-04-27,4399.349
2005-04-28,4351.132
2005-04-29,4334.456
2005-05-02,4343.704
2005-05-03,4381.457
2005-05-04,4435.771
2005-05-05,4433.611
2005-05-06,4478.69
2005-05-09,4487.926
2005-05-10,4448.337
2005-05-11,4414.198
2005-05-12,4453.525
2005-05-13,4480.072
2005-05-16,4474.753
2005-05-17,4502.664
2005-05-18,4541.813
2005-05-19,4571.288
2005-05-20,4553.449
2005-05-23,4575.767
2005-05-24,4590.929
2005-05-25,4587.633
2005-05-26,4595.47
2005-05-27,4596.426
2005-05-30,4600.708
2005-05-31,4569.381
2005-06-01,4546.126
2005-06-02,4544.517
