Date,USA Standard (Large+Mid Cap)
2004-03-30,2388.504
2004-03-31,2386.849
2004-04-01,2400.207
2004-04-02,2420.256
2004-04-05,2438.927
2004-04-06,2432.97
2004-04-07,2416.785
2004-04-08,2414.632
2004-04-09,2414.632
2004-04-12,2426.843
2004-04-13,2393.518
2004-04-14,2390.754
2004-04-15,2392.526
2004-04-16,2404.059
2004-04-19,2407.88
2004-04-20,2370.122
2004-04-21,2383.424
2004-04-22,2417.464
2004-04-23,2418.467
2004-04-26,2408.866
2004-04-27,2414.235
2004-04-28,2380.93
2004-04-29,2363.206
2004-04-30,2349.395
2004-05-03,2371.303
2004-05-04,2375.704
2004-05-05,2380.138
2004-05-06,2364.43
2004-05-07,2332.409
2004-05-10,2307.086
2004-05-11,2325.49
2004-05-12,2329.413
2004-05-13,2327.756
2004-05-14,2325.371
2004-05-17,2300.626
2004-05-18,2316.766
2004-05-19,2311.182
2004-05-20,2312.866
2004-05-21,2322.127
2004-05-24,2326.242
2004-05-25,2363.738
2004-05-26,2368.153
2004-05-27,2381.241
2004-05-28,2379.51
2004-05-31,2379.51
2004-06-01,2380.672
2004-06-02,2388.884
2004-06-03,2370.365
2004-06-04,2382.804
2004-06-07,2420.771
2004-06-08,2423.982
2004-06-09,2401.011
2004-06-10,2411.989
2004-06-11,2411.321
2004-06-14,2387.779
2004-06-15,2402.909
2004-06-16,2406.703
2004-06-17,2403.368
2004-06-18,2409.52
2004-06-21,2399.139
2004-06-22,2408.233
2004-06-23,2429.111
2004-06-24,2422.272
2004-06-25,2408.538
2004-06-28,2406.86
2004-06-29,2413.028
2004-06-30,2423.393
2004-07-01,2398.105
2004-07-02,2390.881
2004-07-05,2390.881
2004-07-06,2370.949
2004-07-07,2376.289
2004-07-08,2356.632
2004-07-09,2365.061
2004-07-12,2367.477
2004-07-13,2369.347
2004-07-14,2361.332
2004-07-15,2351.529
2004-07-16,2340.717
2004-07-19,2339.675
2004-07-20,2356.121
2004-07-21,2323.9
2004-07-22,2330.447
2004-07-23,2307.289
2004-07-26,2301.63
2004-07-27,2323.99
2004-07-28,2325.178
2004-07-29,2336.825
2004-07-30,2340.002
2004-08-02,2350.713
2004-08-03,2336.351
2004-08-04,2334.068
2004-08-05,2296.789
2004-08-06,2261.501
2004-08-09,2264.183
2004-08-10,2293.46
2004-08-11,2287.475
2004-08-12,2260.212
2004-08-13,2263.517
2004-08-16,2293.962
2004-08-17,2300.105
2004-08-18,2329.438
2004-08-19,2320.564
2004-08-20,2336.777
2004-08-23,2330.842
2004-08-24,2332.219
2004-08-25,2350.723
2004-08-26,2351.314
2004-08-27,2357.732
2004-08-30,2339.318
2004-08-31,2350.744
2004-09-01,2355.713
2004-09-02,2381.483
2004-09-03,2371.345
2004-09-06,2371.345
2004-09-07,2387.475
2004-09-08,2377.255
2004-09-09,2381.946
2004-09-10,2393.449
2004-09-13,2398.701
2004-09-14,2403.46
2004-09-15,2386.252
2004-09-16,2393.529
2004-09-17,2403.787
2004-09-20,2391.261
2004-09-21,2406.738
2004-09-22,2373.719
2004-09-23,2362.524
2004-09-24,2366.066
2004-09-27,2351.922
