Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
2005-02-22,534.585
2005-02-23,533.428
2005-02-24,537.929
2005-02-25,542.419
2005-02-28,542.918
2005-03-01,542.955
2005-03-02,538.252
2005-03-03,538.625
2005-03-04,534.138
2005-03-07,538.666
2005-03-08,541.706
2005-03-09,545.707
2005-03-10,541.851
2005-03-11,541.53
2005-03-14,539.852
2005-03-15,535.362
2005-03-16,540.716
2005-03-17,538.696
2005-03-18,541.437
2005-03-21,540.48
2005-03-22,537.063
2005-03-23,530.787
2005-03-24,529.578
2005-03-25,529.578
2005-03-28,529.578
2005-03-29,524.488
2005-03-30,525.023
2005-03-31,527.662
2005-04-01,527.246
2005-04-04,529.598
2005-04-05,529.578
2005-04-06,531.15
2005-04-07,534.005
2005-04-08,536.668
2005-04-11,536.667
2005-04-12,535.37
2005-04-13,539.815
2005-04-14,540.34
2005-04-15,537.345
2005-04-18,526.999
2005-04-19,532.59
2005-04-20,531.098
2005-04-21,531.679
2005-04-22,534.358
2005-04-25,535.694
2005-04-26,540.187
2005-04-27,539.857
2005-04-28,542.468
2005-04-29,542.919
2005-05-02,542.85
2005-05-03,544.133
2005-05-04,546.229
2005-05-05,550.518
2005-05-06,548.492
2005-05-09,549.43
2005-05-10,548.728
2005-05-11,543.847
2005-05-12,543.675
2005-05-13,542.66
2005-05-16,542.59
2005-05-17,536.811
2005-05-18,535.067
2005-05-19,535.045
2005-05-20,537.649
2005-05-23,537.127
2005-05-24,538.377
2005-05-25,534.397
2005-05-26,533.894
2005-05-27,539.927
2005-05-30,543.513
2005-05-31,544.522
2005-06-01,541.282
2005-06-02,539.647
2005-06-03,541.008
2005-06-06,541.772
2005-06-07,542.603
2005-06-08,544.681
2005-06-09,543.228
2005-06-10,543.143
2005-06-13,543.155
2005-06-14,545.961
2005-06-15,545.923
2005-06-16,544.842
2005-06-17,547.695
2005-06-20,548.078
2005-06-21,548.575
2005-06-22,555.202
2005-06-23,559.617
2005-06-24,564.692
2005-06-27,563.41
2005-06-28,564.367
2005-06-29,565.101
2005-06-30,565.401
2005-07-01,565.463
2005-07-04,563.484
2005-07-05,560.414
2005-07-06,560.3
2005-07-07,554.565
2005-07-08,551.739
2005-07-11,559.71
2005-07-12,561.809
2005-07-13,565.584
2005-07-14,568.404
2005-07-15,573.367
2005-07-18,580.024
2005-07-19,583.073
2005-07-20,588.113
2005-07-21,585.17
2005-07-22,593.933
2005-07-25,592.003
2005-07-26,588.422
2005-07-27,592.652
2005-07-28,595.223
2005-07-29,598.784
2005-08-01,600.149
2005-08-02,604.961
2005-08-03,606.14
2005-08-04,604.55
2005-08-05,601.973
2005-08-08,600.097
2005-08-09,595.695
2005-08-10,600.331
2005-08-11,601.517
2005-08-12,598.89
2005-08-15,598.937
2005-08-16,596.533
2005-08-17,596.957
2005-08-18,587.711
2005-08-19,586.877
2005-08-22,589.0
2005-08-23,583.422
2005-08-24,579.894
2005-08-25,578.63
2005-08-26,584.541
2005-08-29,583.625
2005-08-30,585.091
2005-08-31,583.547
2005-09-01,595.019
2005-09-02,598.181
2005-09-05,597.565
2005-09-06,595.148
2005-09-07,596.033
2005-09-08,591.321
2005-09-09,589.593
2005-09-12,592.971
2005-09-13,588.6
