Date,WORLD SMID CAP SMID (Small+Mid Cap)
2003-09-19,460.304
2003-09-22,456.727
2003-09-23,458.859
2003-09-24,454.141
2003-09-25,449.186
2003-09-26,444.708
2003-09-29,447.958
2003-09-30,446.029
2003-10-01,453.713
2003-10-02,457.449
2003-10-03,463.164
2003-10-06,465.534
2003-10-07,468.187
2003-10-08,467.209
2003-10-09,470.012
2003-10-10,471.885
2003-10-13,474.867
2003-10-14,476.621
2003-10-15,476.118
2003-10-16,478.729
2003-10-17,474.499
2003-10-20,475.649
2003-10-21,477.288
2003-10-22,472.205
2003-10-23,467.759
2003-10-24,467.852
2003-10-27,471.75
2003-10-28,476.762
2003-10-29,480.513
2003-10-30,481.464
2003-10-31,480.294
2003-11-03,482.733
2003-11-04,484.47
2003-11-05,483.966
2003-11-06,484.18
2003-11-07,486.096
2003-11-10,482.968
2003-11-11,479.005
2003-11-12,484.75
2003-11-13,487.308
2003-11-14,484.238
2003-11-17,476.831
2003-11-18,475.614
2003-11-19,475.524
2003-11-20,474.304
2003-11-21,475.878
2003-11-24,481.299
2003-11-25,484.63
2003-11-26,488.849
2003-11-27,489.169
2003-11-28,490.171
2003-12-01,496.211
2003-12-02,497.425
2003-12-03,496.082
2003-12-04,495.362
2003-12-05,493.416
2003-12-08,494.93
2003-12-09,491.802
2003-12-10,487.791
2003-12-11,492.145
2003-12-12,495.518
2003-12-15,493.552
2003-12-16,492.872
2003-12-17,493.432
2003-12-18,498.123
2003-12-19,498.006
2003-12-22,500.078
2003-12-23,502.565
2003-12-24,503.158
2003-12-25,503.309
2003-12-26,504.485
2003-12-29,509.681
2003-12-30,512.212
2003-12-31,511.966
2004-01-01,511.968
2004-01-02,513.101
2004-01-05,519.686
2004-01-06,521.276
2004-01-07,521.569
2004-01-08,525.175
2004-01-09,526.056
2004-01-12,527.605
2004-01-13,526.481
2004-01-14,529.14
2004-01-15,528.282
2004-01-16,530.419
2004-01-19,530.934
2004-01-20,535.494
2004-01-21,537.449
2004-01-22,537.094
2004-01-23,537.11
2004-01-26,537.666
2004-01-27,536.419
2004-01-28,531.294
2004-01-29,525.859
2004-01-30,527.791
2004-02-02,529.149
2004-02-03,529.87
2004-02-04,523.287
2004-02-05,525.742
2004-02-06,534.212
2004-02-09,536.12
2004-02-10,538.608
2004-02-11,541.94
2004-02-12,543.802
2004-02-13,541.742
2004-02-16,542.531
2004-02-17,547.917
2004-02-18,547.004
2004-02-19,543.052
2004-02-20,538.129
2004-02-23,535.732
2004-02-24,535.351
2004-02-25,536.648
2004-02-26,537.593
2004-02-27,540.843
2004-03-01,548.662
2004-03-02,546.049
2004-03-03,543.516
2004-03-04,546.732
2004-03-05,551.308
2004-03-08,547.621
2004-03-09,544.455
2004-03-10,535.243
2004-03-11,528.019
2004-03-12,532.554
2004-03-15,526.07
2004-03-16,529.716
2004-03-17,536.582
2004-03-18,537.862
2004-03-19,535.519
2004-03-22,528.328
2004-03-23,528.392
2004-03-24,527.013
2004-03-25,534.833
2004-03-26,535.722
2004-03-29,542.398
2004-03-30,545.049
2004-03-31,549.133
2004-04-01,554.45
2004-04-02,556.72
2004-04-05,557.291
2004-04-06,555.367
2004-04-07,556.864
2004-04-08,555.504
2004-04-09,554.548
2004-04-12,556.035
2004-04-13,548.989
2004-04-14,543.561
2004-04-15,541.631
2004-04-16,545.865
2004-04-19,546.232
2004-04-20,542.046
2004-04-21,541.734
2004-04-22,547.626
2004-04-23,547.76
2004-04-26,548.047
2004-04-27,547.843
2004-04-28,540.002
2004-04-29,534.476
2004-04-30,530.07
2004-05-03,533.056
2004-05-04,536.845
2004-05-05,539.378
2004-05-06,532.146
2004-05-07,521.05
2004-05-10,505.762
2004-05-11,510.901
2004-05-12,513.12
2004-05-13,511.547
2004-05-14,509.798
2004-05-17,503.15
2004-05-18,508.039
2004-05-19,514.12
2004-05-20,511.91
2004-05-21,517.215
2004-05-24,520.153
2004-05-25,526.794
2004-05-26,530.567
2004-05-27,535.1
2004-05-28,537.143
2004-05-31,537.299
2004-06-01,537.865
2004-06-02,539.058
2004-06-03,533.212
2004-06-04,536.814
2004-06-07,546.2
2004-06-08,546.242
2004-06-09,540.716
2004-06-10,542.153
2004-06-11,540.447
2004-06-14,534.908
2004-06-15,539.077
2004-06-16,541.375
2004-06-17,542.354
2004-06-18,543.804
2004-06-21,544.065
2004-06-22,544.842
2004-06-23,548.929
2004-06-24,551.511
2004-06-25,553.079
2004-06-28,553.989
2004-06-29,553.509
2004-06-30,556.711
2004-07-01,553.385
2004-07-02,552.9
2004-07-05,550.822
2004-07-06,545.664
2004-07-07,547.532
2004-07-08,543.032
2004-07-09,545.303
2004-07-12,545.687
2004-07-13,544.481
2004-07-14,542.816
2004-07-15,542.063
2004-07-16,542.925
2004-07-19,542.486
2004-07-20,543.96
2004-07-21,536.818
2004-07-22,534.333
2004-07-23,528.619
2004-07-26,524.388
2004-07-27,526.107
2004-07-28,526.055
2004-07-29,529.865
2004-07-30,532.081
2004-08-02,532.926
2004-08-03,530.08
2004-08-04,526.728
2004-08-05,521.907
2004-08-06,517.112
2004-08-09,515.006
2004-08-10,521.144
2004-08-11,517.945
2004-08-12,513.822
2004-08-13,514.233
2004-08-16,519.411
2004-08-17,521.117
2004-08-18,525.813
2004-08-19,526.984
2004-08-20,530.346
2004-08-23,529.241
2004-08-24,528.25
2004-08-25,531.288
2004-08-26,532.363
2004-08-27,534.347
2004-08-30,531.017
2004-08-31,533.304
2004-09-01,536.849
2004-09-02,540.623
2004-09-03,537.434
2004-09-06,539.516
2004-09-07,542.834
2004-09-08,541.54
2004-09-09,542.269
2004-09-10,546.226
2004-09-13,548.67
2004-09-14,549.344
2004-09-15,544.097
2004-09-16,547.333
2004-09-17,548.079
2004-09-20,546.585
2004-09-21,550.986
2004-09-22,546.171
2004-09-23,545.713
2004-09-24,545.818
2004-09-27,542.293
2004-09-28,545.14
2004-09-29,547.948
2004-09-30,552.286
2004-10-01,559.377
2004-10-04,561.642
2004-10-05,561.716
2004-10-06,564.369
2004-10-07,560.685
2004-10-08,560.267
2004-10-11,560.385
2004-10-12,556.606
2004-10-13,552.823
2004-10-14,550.986
2004-10-15,553.699
2004-10-18,554.453
2004-10-19,554.116
2004-10-20,554.813
2004-10-21,559.063
2004-10-22,557.02
2004-10-25,557.509
2004-10-26,561.285
2004-10-27,567.059
2004-10-28,567.667
2004-10-29,568.199
2004-11-01,569.699
2004-11-02,571.078
2004-11-03,577.525
2004-11-04,583.368
2004-11-05,586.823
2004-11-08,585.926
2004-11-09,586.668
2004-11-10,587.839
2004-11-11,591.546
2004-11-12,597.862
2004-11-15,599.222
2004-11-16,596.855
2004-11-17,601.42
2004-11-18,600.782
2004-11-19,598.717
2004-11-22,599.886
2004-11-23,602.256
2004-11-24,607.162
2004-11-25,609.757
2004-11-26,610.322
2004-11-29,611.182
2004-11-30,609.647
2004-12-01,614.826
2004-12-02,614.45
2004-12-03,617.201
2004-12-06,616.567
2004-12-07,610.901
2004-12-08,607.859
2004-12-09,606.965
2004-12-10,607.334
2004-12-13,612.647
2004-12-14,615.41
2004-12-15,621.374
2004-12-16,618.094
2004-12-17,618.232
2004-12-20,620.42
2004-12-21,623.494
2004-12-22,625.683
2004-12-23,627.718
2004-12-24,629.405
2004-12-27,628.844
2004-12-28,632.998
2004-12-29,632.794
2004-12-30,635.766
2004-12-31,636.084
2005-01-03,629.3
2005-01-04,620.932
2005-01-05,614.965
2005-01-06,615.145
2005-01-07,613.547
2005-01-10,616.484
2005-01-11,615.397
2005-01-12,619.095
2005-01-13,617.825
2005-01-14,620.399
2005-01-17,622.123
2005-01-18,624.565
2005-01-19,622.761
2005-01-20,617.871
2005-01-21,617.24
2005-01-24,615.547
2005-01-25,614.841
2005-01-26,621.609
2005-01-27,622.325
2005-01-28,619.935
2005-01-31,626.873
2005-02-01,629.591
2005-02-02,633.641
2005-02-03,631.85
2005-02-04,638.252
2005-02-07,636.891
2005-02-08,636.044
2005-02-09,631.67
2005-02-10,634.468
2005-02-11,639.22
2005-02-14,642.063
2005-02-15,643.596
2005-02-16,643.004
2005-02-17,641.925
2005-02-18,642.13
2005-02-21,641.738
2005-02-22,637.048
2005-02-23,636.33
2005-02-24,640.655
2005-02-25,647.987
2005-02-28,648.791
2005-03-01,650.965
2005-03-02,649.61
2005-03-03,650.344
2005-03-04,658.028
2005-03-07,658.508
