Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2003-10-27,685.574
2003-10-28,699.244
2003-10-29,699.954
2003-10-30,698.685
2003-10-31,700.735
2003-11-03,707.746
2003-11-04,703.89
2003-11-05,704.228
2003-11-06,709.193
2003-11-07,705.951
2003-11-10,699.5
2003-11-11,698.286
2003-11-12,709.476
2003-11-13,710.011
2003-11-14,703.717
2003-11-17,698.082
2003-11-18,691.192
2003-11-19,696.777
2003-11-20,690.528
2003-11-21,692.151
2003-11-24,706.824
2003-11-25,706.627
2003-11-26,709.426
2003-11-27,709.426
2003-11-28,710.495
2003-12-01,718.855
2003-12-02,714.722
2003-12-03,710.52
2003-12-04,712.854
2003-12-05,705.813
2003-12-08,709.509
2003-12-09,699.963
2003-12-10,698.025
2003-12-11,708.114
2003-12-12,709.76
2003-12-15,703.111
2003-12-16,705.509
2003-12-17,705.898
2003-12-18,715.57
2003-12-19,713.983
2003-12-22,715.72
2003-12-23,718.666
2003-12-24,717.586
2003-12-25,717.586
2003-12-26,719.017
2003-12-29,728.86
2003-12-30,728.847
2003-12-31,728.58
2004-01-01,728.58
2004-01-02,726.412
2004-01-05,736.319
2004-01-06,738.963
2004-01-07,742.699
2004-01-08,746.033
2004-01-09,741.382
2004-01-12,746.213
2004-01-13,741.615
2004-01-14,746.825
2004-01-15,747.815
2004-01-16,754.477
2004-01-19,754.477
2004-01-20,754.71
2004-01-21,757.357
2004-01-22,754.973
2004-01-23,755.312
2004-01-26,764.672
2004-01-27,755.397
2004-01-28,744.094
2004-01-29,746.764
2004-01-30,746.486
2004-02-02,748.894
2004-02-03,750.968
2004-02-04,743.04
2004-02-05,743.691
2004-02-06,756.168
2004-02-09,754.652
2004-02-10,759.13
2004-02-11,765.352
2004-02-12,761.003
2004-02-13,755.884
2004-02-16,755.884
2004-02-17,763.215
2004-02-18,760.599
2004-02-19,754.696
2004-02-20,752.996
2004-02-23,746.492
2004-02-24,746.959
2004-02-25,751.235
2004-02-26,753.651
2004-02-27,753.121
2004-03-01,761.341
2004-03-02,755.63
2004-03-03,755.988
2004-03-04,760.392
2004-03-05,760.463
2004-03-08,752.367
2004-03-09,747.653
2004-03-10,737.265
2004-03-11,727.723
2004-03-12,738.073
2004-03-15,725.796
2004-03-16,728.948
2004-03-17,737.807
2004-03-18,735.438
2004-03-19,727.392
2004-03-22,717.907
2004-03-23,717.067
2004-03-24,717.169
2004-03-25,731.979
2004-03-26,730.59
2004-03-29,740.937
2004-03-30,744.199
2004-03-31,743.471
2004-04-01,748.228
2004-04-02,758.108
2004-04-05,764.823
2004-04-06,760.807
2004-04-07,756.764
2004-04-08,755.73
2004-04-09,755.73
2004-04-12,760.263
2004-04-13,750.107
2004-04-14,750.425
2004-04-15,749.669
2004-04-16,750.721
2004-04-19,754.392
2004-04-20,741.507
2004-04-21,746.825
2004-04-22,757.188
2004-04-23,759.426
2004-04-26,755.259
2004-04-27,755.843
2004-04-28,744.278
2004-04-29,737.45
2004-04-30,730.659
2004-05-03,737.153
2004-05-04,738.412
2004-05-05,740.941
2004-05-06,735.195
2004-05-07,727.473
2004-05-10,719.901
2004-05-11,727.732
2004-05-12,726.681
2004-05-13,726.047
2004-05-14,722.746
2004-05-17,714.871
2004-05-18,720.593
2004-05-19,719.088
2004-05-20,719.054
2004-05-21,721.917
2004-05-24,723.746
2004-05-25,736.835
2004-05-26,738.888
2004-05-27,743.77
2004-05-28,743.993
2004-05-31,743.993
2004-06-01,745.26
2004-06-02,746.764
2004-06-03,739.376
2004-06-04,744.068
2004-06-07,756.771
2004-06-08,758.286
2004-06-09,749.466
2004-06-10,751.447
2004-06-11,751.447
2004-06-14,743.953
2004-06-15,749.411
2004-06-16,749.707
2004-06-17,746.762
2004-06-18,747.336
2004-06-21,743.244
2004-06-22,746.884
2004-06-23,753.776
2004-06-24,751.437
2004-06-25,749.927
2004-06-28,747.637
2004-06-29,750.875
2004-06-30,754.368
2004-07-01,745.161
2004-07-02,741.829
2004-07-05,741.829
2004-07-06,732.156
2004-07-07,733.825
2004-07-08,726.351
2004-07-09,728.566
2004-07-12,727.433
2004-07-13,728.019
2004-07-14,724.128
2004-07-15,722.26
2004-07-16,716.136
2004-07-19,714.193
2004-07-20,722.092
2004-07-21,709.402
2004-07-22,712.305
2004-07-23,701.851
2004-07-26,698.197
2004-07-27,706.518
2004-07-28,704.092
2004-07-29,709.197
2004-07-30,710.911
2004-08-02,713.563
2004-08-03,706.351
2004-08-04,704.919
2004-08-05,692.712
2004-08-06,680.23
2004-08-09,679.744
2004-08-10,690.306
2004-08-11,686.035
2004-08-12,677.417
2004-08-13,678.364
2004-08-16,687.381
2004-08-17,690.783
2004-08-18,701.247
2004-08-19,698.116
2004-08-20,703.364
2004-08-23,702.227
2004-08-24,701.527
2004-08-25,708.215
2004-08-26,707.339
2004-08-27,710.203
2004-08-30,702.566
2004-08-31,705.069
2004-09-01,708.037
2004-09-02,716.188
2004-09-03,710.797
2004-09-06,710.797
2004-09-07,714.793
2004-09-08,712.003
2004-09-09,714.943
2004-09-10,720.462
2004-09-13,723.881
2004-09-14,725.95
2004-09-15,720.069
2004-09-16,721.114
2004-09-17,723.577
2004-09-20,720.513
2004-09-21,724.62
2004-09-22,714.044
2004-09-23,713.292
2004-09-24,713.086
2004-09-27,707.495
2004-09-28,711.19
2004-09-29,716.287
2004-09-30,717.782
2004-10-01,729.46
2004-10-04,732.402
2004-10-05,731.882
2004-10-06,736.304
2004-10-07,727.169
2004-10-08,719.16
2004-10-11,721.144
2004-10-12,718.642
2004-10-13,715.093
2004-10-14,708.779
2004-10-15,711.171
2004-10-18,717.298
2004-10-19,712.091
2004-10-20,714.216
2004-10-21,717.899
2004-10-22,708.172
2004-10-25,706.967
2004-10-26,716.304
2004-10-27,728.798
2004-10-28,729.769
2004-10-29,730.477
2004-11-01,730.379
2004-11-02,731.366
2004-11-03,739.934
2004-11-04,749.052
2004-11-05,753.925
2004-11-08,752.756
2004-11-09,753.08
2004-11-10,751.49
2004-11-11,758.753
2004-11-12,765.781
2004-11-15,768.002
2004-11-16,762.132
2004-11-17,767.226
2004-11-18,768.118
2004-11-19,758.084
2004-11-22,762.29
2004-11-23,761.857
2004-11-24,765.898
2004-11-25,765.898
2004-11-26,766.053
2004-11-29,764.956
2004-11-30,760.586
2004-12-01,773.42
2004-12-02,774.489
2004-12-03,775.841
2004-12-06,775.56
2004-12-07,766.028
2004-12-08,770.488
2004-12-09,775.394
2004-12-10,774.489
2004-12-13,780.075
2004-12-14,785.011
2004-12-15,785.916
2004-12-16,783.787
2004-12-17,780.694
2004-12-20,779.238
2004-12-21,786.369
2004-12-22,788.928
2004-12-23,789.461
2004-12-24,789.461
2004-12-27,786.251
2004-12-28,793.486
2004-12-29,793.643
2004-12-30,794.324
2004-12-31,793.075
2005-01-03,785.512
2005-01-04,773.551
2005-01-05,769.736
2005-01-06,771.743
2005-01-07,771.63
2005-01-10,775.595
2005-01-11,770.664
2005-01-12,774.567
2005-01-13,768.064
2005-01-14,773.4
2005-01-17,773.4
2005-01-18,779.571
2005-01-19,772.132
2005-01-20,765.636
2005-01-21,761.105
2005-01-24,755.149
2005-01-25,758.856
2005-01-26,764.213
2005-01-27,764.88
2005-01-28,763.143
2005-01-31,769.562
2005-02-01,773.751
2005-02-02,776.588
2005-02-03,773.479
2005-02-04,782.066
2005-02-07,780.435
2005-02-08,780.684
2005-02-09,771.395
2005-02-10,774.278
2005-02-11,781.676
2005-02-14,781.365
2005-02-15,784.552
2005-02-16,784.924
2005-02-17,778.511
2005-02-18,777.885
2005-02-21,777.885
2005-02-22,766.787
2005-02-23,770.208
2005-02-24,776.688
2005-02-25,782.867
2005-02-28,777.892
2005-03-01,783.281
2005-03-02,783.13
2005-03-03,782.731
2005-03-04,788.865
2005-03-07,792.385
2005-03-08,787.482
2005-03-09,781.593
2005-03-10,781.991
2005-03-11,776.04
2005-03-14,780.042
2005-03-15,774.562
2005-03-16,767.914
2005-03-17,769.046
2005-03-18,767.682
2005-03-21,765.676
2005-03-22,760.527
2005-03-23,760.707
2005-03-24,761.095
2005-03-25,761.095
2005-03-28,762.181
2005-03-29,755.774
2005-03-30,765.817
2005-03-31,764.006
2005-04-01,758.073
2005-04-04,761.4
2005-04-05,765.702
2005-04-06,765.67
2005-04-07,771.267
2005-04-08,764.46
2005-04-11,763.297
2005-04-12,767.115
2005-04-13,757.668
2005-04-14,749.29
2005-04-15,737.046
2005-04-18,737.907
2005-04-19,743.139
2005-04-20,734.033
2005-04-21,749.732
2005-04-22,741.754
2005-04-25,748.397
2005-04-26,741.709
2005-04-27,743.933
2005-04-28,735.472
2005-04-29,741.835
2005-05-02,745.897
2005-05-03,746.275
2005-05-04,755.737
2005-05-05,754.708
2005-05-06,755.671
2005-05-09,760.111
2005-05-10,752.942
2005-05-11,756.543
2005-05-12,751.097
2005-05-13,749.874
2005-05-16,757.541
2005-05-17,762.389
2005-05-18,771.246
2005-05-19,775.085
2005-05-20,774.273
2005-05-23,777.445
2005-05-24,778.676
2005-05-25,774.939
2005-05-26,781.198
2005-05-27,782.32
2005-05-30,782.32
2005-05-31,778.705
2005-06-01,785.44
2005-06-02,788.487
2005-06-03,782.377
2005-06-06,783.697
2005-06-07,783.276
2005-06-08,780.598
2005-06-09,785.979
2005-06-10,782.224
2005-06-13,784.91
2005-06-14,786.938
2005-06-15,788.189
2005-06-16,791.453
2005-06-17,793.111
2005-06-20,793.244
2005-06-21,792.487
2005-06-22,792.778
2005-06-23,784.586
2005-06-24,778.195
2005-06-27,777.261
2005-06-28,786.395
2005-06-29,785.208
2005-06-30,780.804
2005-07-01,782.321
2005-07-04,782.321
2005-07-05,790.006
2005-07-06,785.019
2005-07-07,787.408
2005-07-08,797.751
2005-07-11,803.816
2005-07-12,806.202
2005-07-13,805.626
2005-07-14,807.191
2005-07-15,808.744
2005-07-18,805.382
2005-07-19,813.334
2005-07-20,818.088
2005-07-21,812.964
2005-07-22,816.483
2005-07-25,812.213
2005-07-26,815.004
2005-07-27,819.325
2005-07-28,825.283
2005-07-29,819.987
2005-08-01,822.342
