Date,PORTUGAL LARGE CAP Large Cap
2005-11-21,572.091
2005-11-22,565.154
2005-11-23,578.313
2005-11-24,585.491
2005-11-25,581.291
2005-11-28,578.411
2005-11-29,581.305
2005-11-30,573.052
2005-12-01,571.532
2005-12-02,571.994
2005-12-05,583.414
2005-12-06,595.283
2005-12-07,599.862
2005-12-08,602.173
2005-12-09,606.282
2005-12-12,610.935
2005-12-13,603.89
2005-12-14,626.133
2005-12-15,649.547
2005-12-16,638.376
2005-12-19,628.787
2005-12-20,613.562
2005-12-21,625.185
2005-12-22,630.19
2005-12-23,632.577
2005-12-26,632.577
2005-12-27,629.288
2005-12-28,632.1
2005-12-29,632.012
2005-12-30,630.899
2006-01-02,630.162
2006-01-03,655.62
2006-01-04,670.77
2006-01-05,666.453
2006-01-06,664.11
2006-01-09,661.739
2006-01-10,654.615
2006-01-11,657.702
2006-01-12,638.625
2006-01-13,643.609
2006-01-16,655.107
2006-01-17,641.567
2006-01-18,636.615
2006-01-19,635.131
2006-01-20,623.412
2006-01-23,637.738
2006-01-24,633.535
2006-01-25,626.779
2006-01-26,626.038
2006-01-27,617.251
2006-01-30,622.87
2006-01-31,627.457
2006-02-01,633.535
2006-02-02,611.734
2006-02-03,615.589
2006-02-06,612.987
2006-02-07,724.536
2006-02-08,725.163
2006-02-09,716.252
2006-02-10,716.09
2006-02-13,712.81
2006-02-14,721.233
2006-02-15,726.473
2006-02-16,727.849
2006-02-17,727.878
2006-02-20,731.646
2006-02-21,725.79
2006-02-22,723.705
2006-02-23,724.895
2006-02-24,723.899
2006-02-27,723.228
2006-02-28,723.464
2006-03-01,724.01
2006-03-02,727.165
2006-03-03,731.87
2006-03-06,742.266
2006-03-07,731.628
2006-03-08,735.212
2006-03-09,731.607
2006-03-10,733.581
2006-03-13,750.566
2006-03-14,754.1
2006-03-15,758.115
2006-03-16,766.435
2006-03-17,765.984
2006-03-20,769.156
2006-03-21,767.757
2006-03-22,778.09
2006-03-23,766.147
2006-03-24,765.059
2006-03-27,768.4
2006-03-28,764.289
2006-03-29,759.664
2006-03-30,764.856
2006-03-31,757.794
2006-04-03,769.218
2006-04-04,778.551
2006-04-05,780.595
2006-04-06,776.551
2006-04-07,771.428
2006-04-10,767.068
2006-04-11,770.043
2006-04-12,765.176
2006-04-13,766.811
2006-04-14,766.811
2006-04-17,778.99
2006-04-18,778.348
2006-04-19,784.634
2006-04-20,777.559
2006-04-21,779.581
2006-04-24,783.671
2006-04-25,783.751
2006-04-26,784.533
2006-04-27,789.928
2006-04-28,795.095
2006-05-01,796.483
2006-05-02,794.897
2006-05-03,790.456
2006-05-04,795.283
2006-05-05,789.714
2006-05-08,786.025
2006-05-09,791.14
2006-05-10,792.509
2006-05-11,795.599
2006-05-12,797.835
2006-05-15,793.071
2006-05-16,795.327
2006-05-17,785.608
2006-05-18,791.292
2006-05-19,783.971
2006-05-22,789.854
2006-05-23,790.323
2006-05-24,776.525
2006-05-25,774.261
2006-05-26,776.538
2006-05-29,780.351
2006-05-30,785.1
2006-05-31,773.135
2006-06-01,782.49
2006-06-02,817.397
2006-06-05,816.391
2006-06-06,805.012
2006-06-07,818.512
2006-06-08,794.723
2006-06-09,796.888
2006-06-12,792.217
2006-06-13,775.147
2006-06-14,778.541
2006-06-15,778.85
2006-06-16,776.576
2006-06-19,772.942
2006-06-20,773.347
2006-06-21,779.191
2006-06-22,785.803
2006-06-23,783.824
2006-06-26,780.242
2006-06-27,780.494
2006-06-28,771.341
2006-06-29,773.666
2006-06-30,793.17
2006-07-03,796.686
2006-07-04,797.278
2006-07-05,792.233
2006-07-06,800.279
2006-07-07,805.514
2006-07-10,799.4
2006-07-11,800.153
2006-07-12,795.366
2006-07-13,794.908
2006-07-14,788.723
2006-07-17,784.772
2006-07-18,783.963
2006-07-19,792.672
2006-07-20,800.275
2006-07-21,798.638
2006-07-24,796.457
2006-07-25,804.019
2006-07-26,802.458
2006-07-27,815.821
2006-07-28,815.355
2006-07-31,815.099
2006-08-01,816.398
2006-08-02,829.173
2006-08-03,824.613
2006-08-04,826.136
2006-08-07,829.809
2006-08-08,830.92
2006-08-09,838.196
2006-08-10,829.361
2006-08-11,826.26
2006-08-14,822.388
2006-08-15,825.098
2006-08-16,831.891
2006-08-17,825.744
2006-08-18,826.45
2006-08-21,827.738
2006-08-22,825.999
2006-08-23,820.634
2006-08-24,824.774
2006-08-25,819.167
2006-08-28,832.08
2006-08-29,825.613
2006-08-30,829.689
2006-08-31,825.161
2006-09-01,828.719
2006-09-04,834.358
2006-09-05,828.072
2006-09-06,830.27
2006-09-07,824.059
2006-09-08,820.814
2006-09-11,817.365
2006-09-12,815.504
2006-09-13,816.399
2006-09-14,817.684
2006-09-15,808.01
2006-09-18,812.746
2006-09-19,817.27
2006-09-20,822.182
2006-09-21,823.38
