Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
2005-01-05,1101.849
2005-01-06,1093.176
2005-01-07,1091.674
2005-01-10,1085.186
2005-01-11,1084.26
2005-01-12,1095.789
2005-01-13,1082.581
2005-01-14,1076.756
2005-01-17,1088.165
2005-01-18,1086.886
2005-01-19,1077.454
2005-01-20,1065.234
2005-01-21,1080.063
2005-01-24,1080.495
2005-01-25,1077.228
2005-01-26,1090.563
2005-01-27,1093.641
2005-01-28,1083.141
2005-01-31,1080.673
2005-02-01,1090.915
2005-02-02,1095.545
2005-02-03,1092.939
2005-02-04,1105.878
2005-02-07,1092.817
2005-02-08,1088.082
2005-02-09,1092.43
2005-02-10,1086.703
2005-02-11,1090.615
2005-02-14,1105.609
2005-02-15,1111.023
2005-02-16,1112.456
2005-02-17,1118.95
2005-02-18,1120.916
2005-02-21,1111.18
2005-02-22,1113.728
2005-02-23,1100.531
2005-02-24,1115.651
2005-02-25,1140.242
2005-02-28,1160.948
2005-03-01,1160.564
2005-03-02,1154.899
2005-03-03,1174.283
2005-03-04,1186.45
2005-03-07,1187.707
2005-03-08,1182.922
2005-03-09,1176.999
2005-03-10,1185.231
2005-03-11,1188.145
2005-03-14,1162.797
2005-03-15,1172.342
2005-03-16,1163.942
2005-03-17,1154.374
2005-03-18,1138.461
2005-03-21,1113.513
2005-03-22,1138.192
2005-03-23,1109.399
2005-03-24,1115.539
2005-03-25,1115.539
2005-03-28,1107.71
2005-03-29,1120.725
2005-03-30,1124.736
2005-03-31,1129.404
2005-04-01,1131.569
2005-04-04,1120.49
2005-04-05,1128.712
2005-04-06,1135.2
2005-04-07,1128.406
2005-04-08,1132.592
2005-04-11,1138.602
2005-04-12,1127.715
2005-04-13,1138.198
2005-04-14,1122.046
2005-04-15,1114.972
2005-04-18,1094.09
2005-04-19,1102.878
2005-04-20,1114.905
2005-04-21,1123.733
2005-04-22,1133.61
2005-04-25,1124.42
2005-04-26,1126.882
2005-04-27,1107.834
2005-04-28,1095.898
2005-04-29,1093.621
2005-05-02,1087.499
2005-05-03,1087.535
2005-05-04,1087.239
2005-05-05,1085.939
2005-05-06,1076.879
2005-05-09,1096.701
2005-05-10,1088.393
2005-05-11,1079.26
2005-05-12,1070.596
2005-05-13,1063.54
2005-05-16,1061.438
2005-05-17,1061.706
2005-05-18,1075.94
2005-05-19,1077.571
2005-05-20,1087.76
2005-05-23,1094.731
2005-05-24,1089.884
2005-05-25,1084.814
2005-05-26,1078.612
2005-05-27,1099.201
2005-05-30,1099.573
2005-05-31,1103.489
2005-06-01,1107.508
2005-06-02,1114.853
2005-06-03,1117.179
2005-06-06,1128.245
2005-06-07,1138.332
2005-06-08,1147.882
2005-06-09,1144.55
2005-06-10,1137.551
2005-06-13,1132.604
2005-06-14,1130.026
2005-06-15,1136.291
2005-06-16,1140.225
2005-06-17,1153.011
2005-06-20,1147.342
2005-06-21,1140.286
2005-06-22,1135.582
2005-06-23,1120.862
2005-06-24,1111.214
2005-06-27,1125.917
2005-06-28,1129.957
2005-06-29,1131.368
2005-06-30,1133.857
2005-07-01,1140.455
2005-07-04,1130.77
2005-07-05,1132.867
2005-07-06,1126.813
2005-07-07,1123.762
2005-07-08,1129.193
2005-07-11,1139.204
2005-07-12,1143.104
2005-07-13,1137.045
2005-07-14,1141.274
2005-07-15,1135.741
2005-07-18,1142.343
2005-07-19,1141.533
2005-07-20,1147.124
2005-07-21,1151.005
2005-07-22,1152.419
2005-07-25,1155.472
2005-07-26,1137.664
2005-07-27,1145.554
2005-07-28,1150.883
2005-07-29,1171.845
2005-08-01,1200.435
2005-08-02,1199.467
2005-08-03,1229.355
2005-08-04,1240.961
2005-08-05,1230.984
2005-08-08,1236.756
2005-08-09,1239.301
2005-08-10,1249.313
2005-08-11,1247.979
2005-08-12,1247.138
2005-08-15,1240.467
2005-08-16,1242.56
2005-08-17,1244.497
2005-08-18,1232.897
2005-08-19,1229.803
2005-08-22,1239.273
2005-08-23,1240.801
2005-08-24,1236.183
2005-08-25,1241.294
2005-08-26,1243.296
2005-08-29,1240.586
2005-08-30,1233.759
2005-08-31,1250.408
2005-09-01,1274.789
2005-09-02,1300.179
2005-09-05,1288.303
2005-09-06,1288.481
2005-09-07,1285.519
2005-09-08,1288.126
2005-09-09,1290.154
2005-09-12,1272.29
2005-09-13,1268.545
2005-09-14,1267.06
2005-09-15,1259.632
2005-09-16,1264.306
2005-09-19,1246.364
2005-09-20,1245.682
2005-09-21,1227.92
2005-09-22,1212.211
2005-09-23,1207.739
2005-09-26,1198.95
2005-09-27,1196.236
2005-09-28,1206.048
