Date,FINLAND GROWTH Standard (Large+Mid Cap)
2005-07-05,986.024
2005-07-06,998.053
2005-07-07,983.702
2005-07-08,1005.614
2005-07-11,1037.669
2005-07-12,1043.008
2005-07-13,1049.966
2005-07-14,1056.93
2005-07-15,1047.981
2005-07-18,1049.123
2005-07-19,1059.497
2005-07-20,1043.857
2005-07-21,972.885
2005-07-22,955.683
2005-07-25,943.467
2005-07-26,947.081
2005-07-27,961.446
2005-07-28,977.051
2005-07-29,978.118
2005-08-01,976.693
2005-08-02,987.288
2005-08-03,995.068
2005-08-04,989.14
2005-08-05,979.019
2005-08-08,991.522
2005-08-09,1003.826
2005-08-10,1017.677
2005-08-11,1004.251
2005-08-12,1002.901
2005-08-15,993.008
2005-08-16,984.423
2005-08-17,976.275
2005-08-18,963.72
2005-08-19,969.578
2005-08-22,978.036
2005-08-23,972.121
2005-08-24,974.544
2005-08-25,969.661
2005-08-26,964.338
2005-08-29,965.7
2005-08-30,960.678
2005-08-31,975.572
2005-09-01,997.391
2005-09-02,1001.203
2005-09-05,1007.34
2005-09-06,1010.059
2005-09-07,1012.738
2005-09-08,1005.286
2005-09-09,1019.89
