Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2003-12-17,2516.698
2003-12-18,2545.262
2003-12-19,2539.391
2003-12-22,2544.408
2003-12-23,2556.297
2003-12-24,2560.296
2003-12-25,2560.296
2003-12-26,2563.404
2003-12-29,2590.228
2003-12-30,2595.932
2003-12-31,2606.955
2004-01-01,2606.955
2004-01-02,2610.865
2004-01-05,2645.166
2004-01-06,2656.71
2004-01-07,2656.673
2004-01-08,2677.954
2004-01-09,2671.992
2004-01-12,2676.305
2004-01-13,2667.831
2004-01-14,2680.563
2004-01-15,2672.04
2004-01-16,2679.913
2004-01-19,2681.171
2004-01-20,2691.723
2004-01-21,2707.196
2004-01-22,2708.242
2004-01-23,2704.069
2004-01-26,2715.728
2004-01-27,2700.745
2004-01-28,2675.369
2004-01-29,2659.94
2004-01-30,2659.013
2004-02-02,2669.314
2004-02-03,2681.837
2004-02-04,2658.63
2004-02-05,2665.814
2004-02-06,2705.78
2004-02-09,2710.251
2004-02-10,2722.897
2004-02-11,2734.667
2004-02-12,2737.898
2004-02-13,2723.21
2004-02-16,2724.245
2004-02-17,2754.394
2004-02-18,2748.501
2004-02-19,2736.31
2004-02-20,2717.906
2004-02-23,2705.056
2004-02-24,2705.821
2004-02-25,2708.274
2004-02-26,2703.822
2004-02-27,2700.352
2004-03-01,2729.768
2004-03-02,2710.304
2004-03-03,2693.451
2004-03-04,2709.568
2004-03-05,2725.605
2004-03-08,2705.317
2004-03-09,2690.819
2004-03-10,2650.003
2004-03-11,2604.795
2004-03-12,2624.359
2004-03-15,2583.069
2004-03-16,2605.633
2004-03-17,2625.542
2004-03-18,2621.543
2004-03-19,2604.819
2004-03-22,2571.415
2004-03-23,2564.334
2004-03-24,2556.12
2004-03-25,2595.744
2004-03-26,2588.918
2004-03-29,2625.611
2004-03-30,2634.044
2004-03-31,2637.356
2004-04-01,2664.767
2004-04-02,2686.472
2004-04-05,2694.342
2004-04-06,2683.968
2004-04-07,2683.272
2004-04-08,2679.932
2004-04-09,2679.932
2004-04-12,2689.04
2004-04-13,2661.238
2004-04-14,2647.765
2004-04-15,2649.301
2004-04-16,2665.409
2004-04-19,2676.066
2004-04-20,2641.255
2004-04-21,2639.988
2004-04-22,2666.524
2004-04-23,2675.208
2004-04-26,2670.039
2004-04-27,2673.203
2004-04-28,2625.416
2004-04-29,2612.843
2004-04-30,2595.34
2004-05-03,2611.153
2004-05-04,2630.524
2004-05-05,2642.341
2004-05-06,2616.297
2004-05-07,2589.545
2004-05-10,2547.579
2004-05-11,2568.19
2004-05-12,2566.243
