Date,HONG KONG LARGE GROWTH Large Cap
2005-05-24,679.43
2005-05-25,672.628
2005-05-26,671.503
2005-05-27,678.349
2005-05-30,682.179
2005-05-31,678.525
2005-06-01,680.349
2005-06-02,676.062
2005-06-03,676.405
2005-06-06,679.183
2005-06-07,679.353
2005-06-08,681.799
2005-06-09,682.186
2005-06-10,682.792
2005-06-13,682.786
2005-06-14,681.854
2005-06-15,677.929
2005-06-16,675.178
2005-06-17,680.152
2005-06-20,681.556
2005-06-21,684.269
2005-06-22,691.616
2005-06-23,692.859
2005-06-24,695.648
2005-06-27,694.045
2005-06-28,697.66
2005-06-29,699.545
2005-06-30,699.791
2005-07-01,699.868
2005-07-04,699.503
2005-07-05,696.789
2005-07-06,699.291
2005-07-07,696.467
2005-07-08,695.904
2005-07-11,703.562
2005-07-12,702.177
2005-07-13,708.756
2005-07-14,719.073
2005-07-15,720.619
2005-07-18,726.056
2005-07-19,723.41
2005-07-20,725.25
2005-07-21,723.316
2005-07-22,730.206
2005-07-25,729.066
2005-07-26,727.1
2005-07-27,728.844
2005-07-28,730.637
2005-07-29,732.626
2005-08-01,734.332
2005-08-02,738.806
2005-08-03,739.95
2005-08-04,741.761
2005-08-05,739.328
2005-08-08,739.588
2005-08-09,735.347
2005-08-10,743.759
2005-08-11,747.843
2005-08-12,749.592
2005-08-15,749.752
2005-08-16,749.106
2005-08-17,754.212
2005-08-18,741.465
2005-08-19,735.761
2005-08-22,742.062
2005-08-23,727.034
2005-08-24,724.548
2005-08-25,725.719
2005-08-26,727.449
2005-08-29,719.269
2005-08-30,724.343
2005-08-31,724.581
2005-09-01,737.732
2005-09-02,744.036
2005-09-05,745.064
2005-09-06,743.674
2005-09-07,747.863
2005-09-08,746.48
2005-09-09,745.733
2005-09-12,748.761
2005-09-13,746.587
2005-09-14,745.424
2005-09-15,741.357
2005-09-16,738.182
2005-09-19,738.096
2005-09-20,748.92
2005-09-21,746.929
2005-09-22,745.109
2005-09-23,742.97
2005-09-26,750.636
2005-09-27,743.897
2005-09-28,745.487
2005-09-29,753.278
2005-09-30,752.647
2005-10-03,752.261
2005-10-04,750.278
2005-10-05,740.67
2005-10-06,727.953
2005-10-07,729.329
2005-10-10,729.12
2005-10-11,729.002
2005-10-12,713.771
2005-10-13,716.917
2005-10-14,712.783
2005-10-17,715.35
2005-10-18,718.005
2005-10-19,708.583
2005-10-20,708.509
2005-10-21,712.748
2005-10-24,707.542
2005-10-25,707.164
2005-10-26,706.98
2005-10-27,701.366
2005-10-28,691.573
2005-10-31,703.7
