Date,SWEDEN Standard (Large+Mid Cap)
2004-08-19,10532.9
2004-08-20,10495.08
2004-08-23,10644.297
2004-08-24,10558.545
2004-08-25,10622.672
2004-08-26,10724.96
2004-08-27,10698.799
2004-08-30,10696.694
2004-08-31,10701.512
2004-09-01,10859.051
2004-09-02,10853.752
2004-09-03,10767.914
2004-09-06,10776.22
2004-09-07,10762.916
2004-09-08,10799.224
2004-09-09,10776.639
2004-09-10,10998.798
2004-09-13,11207.231
2004-09-14,11187.096
2004-09-15,11033.462
2004-09-16,11033.881
2004-09-17,11101.185
2004-09-20,11112.699
2004-09-21,11247.13
2004-09-22,11256.839
2004-09-23,11287.714
2004-09-24,11226.425
2004-09-27,11189.223
2004-09-28,11210.422
2004-09-29,11508.223
2004-09-30,11537.384
2004-10-01,11742.937
2004-10-04,11741.019
2004-10-05,11810.612
2004-10-06,11759.644
2004-10-07,11749.157
2004-10-08,11811.112
2004-10-11,11793.963
2004-10-12,11597.418
2004-10-13,11703.418
2004-10-14,11680.366
2004-10-15,11701.192
2004-10-18,11734.437
2004-10-19,11901.396
2004-10-20,11833.91
2004-10-21,11740.234
2004-10-22,11598.166
2004-10-25,11471.725
2004-10-26,11592.571
2004-10-27,11742.744
2004-10-28,11747.464
2004-10-29,11699.181
2004-11-01,11884.158
2004-11-02,12024.92
2004-11-03,12161.973
2004-11-04,12137.627
2004-11-05,12222.215
2004-11-08,12306.589
2004-11-09,12231.316
2004-11-10,12356.19
2004-11-11,12481.615
2004-11-12,12731.228
2004-11-15,12767.302
2004-11-16,12734.452
2004-11-17,12911.834
2004-11-18,12877.462
2004-11-19,12899.72
2004-11-22,12783.053
2004-11-23,12862.762
2004-11-24,12988.123
2004-11-25,13159.866
2004-11-26,13173.538
2004-11-29,13252.461
2004-11-30,13170.005
2004-12-01,13297.397
2004-12-02,13272.595
2004-12-03,13342.345
2004-12-06,13361.716
2004-12-07,13464.037
2004-12-08,13081.596
2004-12-09,12901.609
2004-12-10,12956.758
2004-12-13,13122.197
2004-12-14,13093.866
2004-12-15,13176.987
2004-12-16,13085.256
2004-12-17,12919.927
2004-12-20,13203.422
2004-12-21,13177.521
2004-12-22,13252.786
2004-12-23,13319.727
2004-12-24,13399.0
2004-12-27,13471.092
2004-12-28,13460.562
2004-12-29,13487.309
2004-12-30,13476.129
2004-12-31,13412.656
2005-01-03,13446.392
2005-01-04,13316.475
2005-01-05,13172.582
2005-01-06,13026.252
2005-01-07,12960.515
2005-01-10,13185.915
2005-01-11,13126.265
2005-01-12,12945.031
2005-01-13,12949.563
