Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
2005-06-09,2022.105
2005-06-10,2017.625
2005-06-13,2015.64
2005-06-14,2028.823
2005-06-15,2050.12
2005-06-16,2077.792
2005-06-17,2129.356
2005-06-20,2124.846
2005-06-21,2124.583
2005-06-22,2113.394
2005-06-23,2087.73
2005-06-24,2069.032
2005-06-27,2066.37
2005-06-28,2085.495
2005-06-29,2071.513
2005-06-30,2081.939
2005-07-01,2047.759
2005-07-04,2050.813
2005-07-05,2033.919
2005-07-06,2027.663
2005-07-07,2005.08
2005-07-08,2008.367
2005-07-11,2041.018
2005-07-12,2062.287
2005-07-13,2049.1
2005-07-14,2068.623
2005-07-15,2053.054
2005-07-18,2069.976
2005-07-19,2046.424
2005-07-20,2083.013
2005-07-21,2134.381
2005-07-22,2159.379
2005-07-25,2150.494
2005-07-26,2134.712
2005-07-27,2127.172
2005-07-28,2124.195
2005-07-29,2145.887
2005-08-01,2144.699
2005-08-02,2155.256
2005-08-03,2172.387
2005-08-04,2182.906
