Date,BELGIUM VALUE Standard (Large+Mid Cap)
2004-01-13,9513.295
2004-01-14,9565.082
2004-01-15,9601.905
2004-01-16,9537.42
2004-01-19,9491.177
2004-01-20,9574.469
2004-01-21,9680.208
2004-01-22,9785.302
2004-01-23,9724.041
2004-01-26,9641.625
2004-01-27,9648.357
2004-01-28,9703.81
2004-01-29,9426.816
2004-01-30,9482.29
2004-02-02,9582.635
2004-02-03,9659.215
2004-02-04,9624.162
2004-02-05,9734.409
2004-02-06,9881.528
2004-02-09,9938.633
2004-02-10,9881.851
2004-02-11,9909.862
2004-02-12,10092.501
2004-02-13,9994.357
2004-02-16,10076.753
2004-02-17,10172.182
2004-02-18,10262.89
2004-02-19,10231.756
2004-02-20,10080.395
2004-02-23,10127.075
2004-02-24,10176.463
2004-02-25,10032.711
2004-02-26,9897.732
2004-02-27,9943.764
2004-03-01,9992.049
2004-03-02,9933.741
2004-03-03,9718.119
2004-03-04,9878.546
2004-03-05,10199.596
2004-03-08,10095.923
2004-03-09,9971.49
2004-03-10,9775.435
2004-03-11,9458.68
2004-03-12,9478.866
2004-03-15,9272.804
2004-03-16,9392.583
2004-03-17,9439.447
2004-03-18,9409.125
2004-03-19,9360.967
2004-03-22,9191.83
2004-03-23,9190.073
2004-03-24,9046.203
2004-03-25,9154.765
2004-03-26,9174.535
2004-03-29,9229.586
2004-03-30,9237.845
2004-03-31,9335.373
2004-04-01,9586.826
2004-04-02,9548.552
2004-04-05,9456.054
2004-04-06,9537.552
2004-04-07,9569.884
2004-04-08,9652.358
2004-04-09,9652.358
2004-04-12,9625.246
2004-04-13,9641.079
2004-04-14,9535.26
2004-04-15,9527.974
2004-04-16,9729.837
2004-04-19,9650.175
2004-04-20,9673.454
2004-04-21,9610.805
2004-04-22,9648.287
2004-04-23,9656.441
2004-04-26,9636.342
2004-04-27,9607.126
2004-04-28,9476.201
2004-04-29,9443.134
2004-04-30,9449.56
2004-05-03,9548.692
2004-05-04,9588.898
2004-05-05,9644.474
2004-05-06,9401.155
2004-05-07,9205.479
2004-05-10,8901.035
2004-05-11,9019.467
2004-05-12,8951.58
2004-05-13,9021.112
2004-05-14,9062.158
2004-05-17,9058.798
2004-05-18,9141.757
2004-05-19,9324.699
2004-05-20,9257.988
2004-05-21,9358.086
2004-05-24,9385.15
2004-05-25,9417.642
2004-05-26,9495.887
2004-05-27,9740.021
2004-05-28,9732.395
2004-05-31,9714.141
2004-06-01,9685.543
2004-06-02,9799.839
2004-06-03,9925.621
2004-06-04,9965.587
2004-06-07,10087.525
2004-06-08,10062.382
2004-06-09,9908.841
2004-06-10,9917.711
2004-06-11,9813.094
2004-06-14,9834.775
2004-06-15,9852.394
2004-06-16,9853.557
2004-06-17,9929.768
2004-06-18,10075.125
2004-06-21,10035.694
2004-06-22,9965.755
2004-06-23,9967.304
2004-06-24,10066.98
2004-06-25,10027.967
2004-06-28,10076.779
2004-06-29,10006.407
2004-06-30,10095.582
2004-07-01,10073.795
2004-07-02,10124.3
2004-07-05,10045.123
2004-07-06,9927.157
2004-07-07,10114.609
2004-07-08,10140.97
2004-07-09,10181.44
2004-07-12,10180.422
2004-07-13,10216.514
2004-07-14,10216.762
2004-07-15,10136.685
2004-07-16,10204.967
2004-07-19,10079.534
2004-07-20,10111.398
2004-07-21,10096.948
2004-07-22,9924.674
2004-07-23,9738.859
2004-07-26,9701.314
2004-07-27,9813.654
2004-07-28,9788.576
2004-07-29,10013.035
2004-07-30,9906.858
2004-08-02,9913.833
2004-08-03,10027.361
2004-08-04,9962.192
2004-08-05,10079.076
2004-08-06,10082.97
2004-08-09,9950.513
2004-08-10,10111.348
2004-08-11,9919.799
2004-08-12,9971.744
2004-08-13,9986.745
2004-08-16,10090.323
2004-08-17,10136.096
2004-08-18,10081.777
2004-08-19,10164.494
2004-08-20,10109.262
2004-08-23,10125.32
2004-08-24,10070.135
2004-08-25,10133.33
2004-08-26,10255.443
2004-08-27,10269.637
2004-08-30,10258.991
2004-08-31,10337.183
2004-09-01,10507.542
2004-09-02,10489.785
2004-09-03,10504.727
2004-09-06,10530.015
2004-09-07,10564.503
2004-09-08,10577.937
2004-09-09,10576.815
2004-09-10,10736.71
2004-09-13,10728.763
2004-09-14,10754.622
2004-09-15,10759.804
2004-09-16,10752.773
