Date,Open,High,Low,Close,Volume
2022-02-11,88.64,88.64,88.64,88.64,0.0
2022-02-14,87.85,87.85,87.85,87.85,0.0
2022-02-15,89.07,89.07,89.07,89.07,0.0
2022-02-16,89.18,89.18,89.18,89.18,0.0
2022-02-17,87.61,87.61,87.61,87.61,0.0
2022-02-18,87.02,87.02,87.02,87.02,0.0
2022-02-22,86.32,86.32,86.32,86.32,0.0
2022-02-23,85.09,85.09,85.09,85.09,0.0
2022-02-24,85.0,85.0,85.0,85.0,0.0
2022-02-25,87.12,87.12,87.12,87.12,0.0
2022-02-28,86.77,86.77,86.77,86.77,0.0
2022-03-01,85.03,85.03,85.03,85.03,0.0
2022-03-02,86.48,86.48,86.48,86.48,0.0
2022-03-03,85.89,85.89,85.89,85.89,0.0
2022-03-04,84.47,84.47,84.47,84.47,0.0
2022-03-07,81.97,81.97,81.97,81.97,0.0
2022-03-08,81.39,81.39,81.39,81.39,0.0
2022-03-09,84.06,84.06,84.06,84.06,0.0
2022-03-10,83.5,83.5,83.5,83.5,0.0
2022-03-11,82.73,82.73,82.73,82.73,0.0
2022-03-14,82.58,82.58,82.58,82.58,0.0
2022-03-15,83.8,83.8,83.8,83.8,0.0
2022-03-16,85.73,85.73,85.73,85.73,0.0
2022-03-21,87.23,87.23,87.23,87.23,0.0
2022-03-22,88.19,88.19,88.19,88.19,0.0
2022-03-23,86.93,86.93,86.93,86.93,0.0
2022-03-24,87.98,87.98,87.98,87.98,0.0
2022-03-25,88.34,88.34,88.34,88.34,0.0
2022-03-28,88.77,88.77,88.77,88.77,0.0
2022-03-29,90.19,90.19,90.19,90.19,0.0
2022-03-30,89.67,89.67,89.67,89.67,0.0
2022-03-31,88.27,88.27,88.27,88.27,0.0
2022-04-01,88.34,88.34,88.34,88.34,0.0
2022-04-04,89.0,89.0,89.0,89.0,0.0
2022-04-05,88.29,88.29,88.29,88.29,0.0
