Date,ACWI MID GROWTH Mid Cap
2005-02-25,641.74
2005-02-28,641.493
2005-03-01,643.75
2005-03-02,642.04
2005-03-03,642.041
2005-03-04,648.927
2005-03-07,650.289
2005-03-08,649.462
2005-03-09,645.465
2005-03-10,642.986
2005-03-11,643.297
2005-03-14,642.939
2005-03-15,640.864
2005-03-16,637.852
2005-03-17,637.034
2005-03-18,636.141
2005-03-21,633.596
2005-03-22,632.02
2005-03-23,624.959
2005-03-24,625.861
2005-03-25,626.006
2005-03-28,624.348
2005-03-29,619.325
2005-03-30,624.198
2005-03-31,628.576
2005-04-01,628.391
2005-04-04,624.635
2005-04-05,628.22
2005-04-06,630.31
2005-04-07,634.089
2005-04-08,630.878
2005-04-11,631.987
2005-04-12,631.512
2005-04-13,627.822
2005-04-14,619.336
2005-04-15,609.192
2005-04-18,605.962
2005-04-19,613.627
2005-04-20,609.2
2005-04-21,615.726
2005-04-22,615.623
2005-04-25,618.411
2005-04-26,613.315
2005-04-27,609.79
2005-04-28,602.271
2005-04-29,605.403
2005-05-02,607.455
2005-05-03,607.885
2005-05-04,615.275
2005-05-05,616.155
2005-05-06,616.922
2005-05-09,618.315
2005-05-10,614.448
2005-05-11,614.041
2005-05-12,608.645
2005-05-13,606.224
2005-05-16,607.674
2005-05-17,609.471
2005-05-18,616.27
2005-05-19,620.066
2005-05-20,619.054
2005-05-23,622.778
2005-05-24,623.712
2005-05-25,621.525
2005-05-26,624.63
2005-05-27,626.118
2005-05-30,626.752
2005-05-31,624.991
2005-06-01,628.404
2005-06-02,631.428
2005-06-03,631.106
2005-06-06,631.845
2005-06-07,632.814
2005-06-08,633.229
2005-06-09,633.261
2005-06-10,632.454
2005-06-13,632.735
2005-06-14,634.539
2005-06-15,637.093
2005-06-16,641.418
2005-06-17,646.486
2005-06-20,644.286
2005-06-21,643.737
2005-06-22,644.78
2005-06-23,641.374
2005-06-24,636.944
2005-06-27,635.796
2005-06-28,640.649
2005-06-29,641.2
2005-06-30,639.496
2005-07-01,639.19
2005-07-04,638.705
2005-07-05,642.244
2005-07-06,642.347
2005-07-07,640.365
2005-07-08,646.056
2005-07-11,653.23
2005-07-12,657.16
2005-07-13,654.916
2005-07-14,655.2
2005-07-15,655.001
2005-07-18,654.914
2005-07-19,658.469
2005-07-20,661.112
2005-07-21,662.332
2005-07-22,665.984
2005-07-25,663.421
2005-07-26,663.131
2005-07-27,665.551
2005-07-28,670.855
2005-07-29,670.278
2005-08-01,673.927
2005-08-02,678.148
2005-08-03,679.853
2005-08-04,676.898
2005-08-05,670.001
2005-08-08,670.91
2005-08-09,673.227
2005-08-10,678.343
2005-08-11,682.897
2005-08-12,681.053
2005-08-15,680.551
2005-08-16,675.349
2005-08-17,674.232
2005-08-18,670.181
2005-08-19,671.567
2005-08-22,676.081
2005-08-23,674.351
2005-08-24,673.297
2005-08-25,673.506
2005-08-26,670.942
2005-08-29,670.736
2005-08-30,669.177
2005-08-31,678.668
2005-09-01,685.989
2005-09-02,685.813
2005-09-05,687.0
2005-09-06,690.788
2005-09-07,693.28
2005-09-08,691.3
2005-09-09,697.98
2005-09-12,697.216
2005-09-13,692.61
2005-09-14,692.936
2005-09-15,691.509
2005-09-16,693.478
2005-09-19,691.156
2005-09-20,689.499
2005-09-21,685.817
2005-09-22,683.291
2005-09-23,683.454
2005-09-26,688.025
2005-09-27,686.222
2005-09-28,689.677
2005-09-29,694.76
2005-09-30,699.097
2005-10-03,698.775
2005-10-04,696.74
2005-10-05,686.012
2005-10-06,679.245
2005-10-07,680.659
2005-10-10,677.04
2005-10-11,677.156
2005-10-12,670.894
2005-10-13,663.466
2005-10-14,670.24
2005-10-17,671.277
2005-10-18,661.827
2005-10-19,662.517
2005-10-20,659.183
2005-10-21,662.549
2005-10-24,670.682
2005-10-25,672.972
2005-10-26,670.792
2005-10-27,663.267
2005-10-28,667.731
2005-10-31,677.16
2005-11-01,679.551
2005-11-02,688.407
