Date,CANADA SMALL CAP Small Cap
2004-08-25,178.734
2004-08-26,178.065
2004-08-27,177.673
2004-08-30,176.203
2004-08-31,177.974
2004-09-01,178.329
2004-09-02,178.427
2004-09-03,177.091
2004-09-06,177.568
2004-09-07,178.404
2004-09-08,178.029
2004-09-09,179.129
2004-09-10,179.036
2004-09-13,178.891
2004-09-14,180.286
2004-09-15,178.934
2004-09-16,181.038
2004-09-17,179.464
2004-09-20,180.004
2004-09-21,183.234
2004-09-22,183.419
2004-09-23,186.027
2004-09-24,185.61
2004-09-27,184.768
2004-09-28,187.278
2004-09-29,188.009
2004-09-30,190.243
2004-10-01,192.578
2004-10-04,192.143
2004-10-05,194.22
2004-10-06,195.376
2004-10-07,195.061
2004-10-08,195.619
2004-10-11,194.988
2004-10-12,192.618
2004-10-13,189.293
2004-10-14,190.396
2004-10-15,190.997
2004-10-18,190.374
2004-10-19,189.396
2004-10-20,192.733
2004-10-21,193.082
2004-10-22,192.815
2004-10-25,195.987
2004-10-26,195.655
2004-10-27,195.565
2004-10-28,195.355
2004-10-29,196.347
2004-11-01,196.333
2004-11-02,195.014
2004-11-03,199.917
2004-11-04,201.11
2004-11-05,201.703
2004-11-08,201.855
2004-11-09,201.508
2004-11-10,201.482
2004-11-11,203.365
2004-11-12,205.35
2004-11-15,204.385
2004-11-16,207.89
2004-11-17,209.455
2004-11-18,205.874
2004-11-19,207.235
2004-11-22,210.21
2004-11-23,210.522
2004-11-24,212.47
2004-11-25,213.976
2004-11-26,215.197
2004-11-29,214.955
2004-11-30,212.876
2004-12-01,213.125
2004-12-02,209.78
2004-12-03,209.754
2004-12-06,208.956
2004-12-07,205.295
2004-12-08,201.283
2004-12-09,201.869
2004-12-10,201.578
2004-12-13,203.274
2004-12-14,201.602
2004-12-15,205.343
2004-12-16,204.935
2004-12-17,204.658
2004-12-20,206.425
2004-12-21,207.53
2004-12-22,207.361
2004-12-23,208.832
2004-12-24,211.212
2004-12-27,212.475
2004-12-28,212.414
2004-12-29,212.76
2004-12-30,215.226
2004-12-31,216.608
2005-01-03,214.239
2005-01-04,209.045
2005-01-05,206.809
2005-01-06,205.839
2005-01-07,206.522
2005-01-10,209.698
2005-01-11,211.124
2005-01-12,213.761
2005-01-13,212.286
2005-01-14,210.736
2005-01-17,212.102
2005-01-18,212.922
2005-01-19,212.634
2005-01-20,211.635
2005-01-21,213.239
2005-01-24,213.021
2005-01-25,210.398
2005-01-26,212.108
2005-01-27,211.208
2005-01-28,210.09
2005-01-31,210.72
2005-02-01,212.215
2005-02-02,214.204
2005-02-03,214.13
2005-02-04,214.559
2005-02-07,212.709
2005-02-08,214.098
2005-02-09,215.235
2005-02-10,217.711
2005-02-11,218.483
2005-02-14,219.464
2005-02-15,219.942
2005-02-16,219.715
2005-02-17,222.076
2005-02-18,222.503
2005-02-21,221.839
2005-02-22,222.247
2005-02-23,219.616
2005-02-24,219.229
2005-02-25,222.772
2005-02-28,224.651
2005-03-01,222.538
2005-03-02,223.312
2005-03-03,223.704
2005-03-04,228.5
2005-03-07,226.928
2005-03-08,229.165
2005-03-09,228.992
2005-03-10,227.364
2005-03-11,228.866
2005-03-14,228.501
2005-03-15,229.12
2005-03-16,228.82
2005-03-17,228.7
2005-03-18,226.763
2005-03-21,224.675
2005-03-22,225.844
2005-03-23,221.573
2005-03-24,220.304
2005-03-25,220.304
2005-03-28,217.822
2005-03-29,217.139
2005-03-30,218.09
2005-03-31,221.875
2005-04-01,221.17
2005-04-04,219.414
2005-04-05,219.302
2005-04-06,218.528
2005-04-07,219.567
2005-04-08,217.426
2005-04-11,216.641
2005-04-12,213.654
2005-04-13,212.862
2005-04-14,209.236
2005-04-15,207.663
2005-04-18,206.791
2005-04-19,210.887
2005-04-20,210.201
2005-04-21,209.418
2005-04-22,210.463
2005-04-25,210.246
2005-04-26,209.377
2005-04-27,206.575
2005-04-28,204.267
2005-04-29,205.466
2005-05-02,204.433
2005-05-03,205.348
2005-05-04,207.322
2005-05-05,208.831
2005-05-06,208.884
2005-05-09,210.69
2005-05-10,208.038
2005-05-11,205.902
2005-05-12,203.264
2005-05-13,200.658
2005-05-16,199.951
2005-05-17,201.083
2005-05-18,204.063
2005-05-19,203.441
2005-05-20,204.14
2005-05-23,205.269
2005-05-24,206.079
2005-05-25,205.572
2005-05-26,207.789
2005-05-27,208.75
2005-05-30,210.626
2005-05-31,211.485
2005-06-01,213.93
2005-06-02,212.227
2005-06-03,213.306
2005-06-06,211.735
2005-06-07,210.178
2005-06-08,210.979
2005-06-09,209.043
2005-06-10,211.663
2005-06-13,211.003
2005-06-14,211.415
2005-06-15,214.687
2005-06-16,216.737
2005-06-17,215.604
2005-06-20,215.784
2005-06-21,215.948
2005-06-22,215.343
2005-06-23,215.426
2005-06-24,214.693
2005-06-27,214.307
2005-06-28,214.015
2005-06-29,216.154
2005-06-30,216.513
2005-07-01,213.721
2005-07-04,214.654
2005-07-05,215.452
2005-07-06,217.836
2005-07-07,218.598
2005-07-08,220.692
2005-07-11,222.151
2005-07-12,222.312
2005-07-13,222.254
2005-07-14,220.658
2005-07-15,219.506
2005-07-18,220.297
2005-07-19,221.37
2005-07-20,221.209
2005-07-21,223.104
2005-07-22,223.915
2005-07-25,221.918
2005-07-26,219.537
2005-07-27,219.649
2005-07-28,220.85
2005-07-29,222.069
2005-08-01,224.449
2005-08-02,226.669
2005-08-03,228.245
2005-08-04,228.088
2005-08-05,225.871
2005-08-08,225.873
2005-08-09,224.411
2005-08-10,227.201
2005-08-11,231.368
2005-08-12,232.806
2005-08-15,231.545
2005-08-16,230.429
2005-08-17,228.031
2005-08-18,223.758
2005-08-19,225.718
2005-08-22,228.651
2005-08-23,230.317
2005-08-24,229.112
2005-08-25,230.803
2005-08-26,230.199
2005-08-29,230.001
2005-08-30,230.224
2005-08-31,233.098
2005-09-01,236.13
2005-09-02,234.258
2005-09-05,233.973
2005-09-06,235.354
2005-09-07,236.429
2005-09-08,238.415
2005-09-09,241.954
2005-09-12,238.957
2005-09-13,238.687
2005-09-14,240.4
2005-09-15,239.759
2005-09-16,241.91
2005-09-19,241.96
2005-09-20,239.11
2005-09-21,240.799
2005-09-22,239.125
2005-09-23,236.577
2005-09-26,238.262
2005-09-27,236.476
2005-09-28,237.831
2005-09-29,241.007
2005-09-30,241.502
2005-10-03,242.134
2005-10-04,238.241
2005-10-05,233.406
2005-10-06,230.189
2005-10-07,233.224
2005-10-10,233.224
2005-10-11,231.747
2005-10-12,230.134
2005-10-13,225.388
2005-10-14,225.864
2005-10-17,228.614
2005-10-18,224.478
2005-10-19,224.19
2005-10-20,220.087
2005-10-21,220.972
2005-10-24,219.272
2005-10-25,223.475
2005-10-26,223.93
2005-10-27,221.959
2005-10-28,222.838
2005-10-31,223.469
2005-11-01,223.801
2005-11-02,227.46
