Date,UNITED KINGDOM LARGE VALUE Large Cap
2005-06-03,700.617
2005-06-06,698.585
2005-06-07,709.608
2005-06-08,710.104
2005-06-09,703.064
2005-06-10,704.253
2005-06-13,702.544
2005-06-14,706.195
2005-06-15,708.796
2005-06-16,711.025
2005-06-17,717.143
2005-06-20,714.817
2005-06-21,717.327
2005-06-22,721.202
2005-06-23,724.764
2005-06-24,721.768
2005-06-27,718.118
2005-06-28,720.539
2005-06-29,719.449
2005-06-30,714.428
2005-07-01,712.128
2005-07-04,709.888
2005-07-05,706.983
2005-07-06,712.696
2005-07-07,696.699
2005-07-08,703.428
2005-07-11,713.945
2005-07-12,720.062
2005-07-13,718.213
2005-07-14,725.373
2005-07-15,718.395
2005-07-18,713.124
2005-07-19,704.517
2005-07-20,703.254
2005-07-21,711.074
2005-07-22,711.91
2005-07-25,714.587
2005-07-26,716.681
2005-07-27,717.553
2005-07-28,719.553
2005-07-29,720.439
2005-08-01,727.033
2005-08-02,731.416
2005-08-03,733.269
2005-08-04,726.993
2005-08-05,727.447
2005-08-08,734.564
2005-08-09,733.849
2005-08-10,743.239
2005-08-11,743.666
2005-08-12,745.032
2005-08-15,743.637
2005-08-16,742.32
2005-08-17,741.107
2005-08-18,732.468
2005-08-19,737.393
2005-08-22,742.019
2005-08-23,738.583
2005-08-24,735.211
2005-08-25,733.047
2005-08-26,731.972
2005-08-29,729.604
2005-08-30,724.514
2005-08-31,734.593
2005-09-01,749.39
2005-09-02,752.146
2005-09-05,757.302
2005-09-06,759.241
2005-09-07,756.918
2005-09-08,754.298
2005-09-09,755.168
2005-09-12,748.934
2005-09-13,745.004
2005-09-14,748.518
2005-09-15,744.024
2005-09-16,745.767
2005-09-19,746.6
2005-09-20,745.457
2005-09-21,741.116
2005-09-22,734.129
2005-09-23,732.577
2005-09-26,734.762
2005-09-27,730.174
2005-09-28,734.17
2005-09-29,731.41
2005-09-30,734.418
2005-10-03,731.54
2005-10-04,734.521
2005-10-05,727.377
2005-10-06,725.457
2005-10-07,718.976
2005-10-10,716.223
2005-10-11,715.256
2005-10-12,711.076
2005-10-13,700.483
2005-10-14,708.416
2005-10-17,702.37
2005-10-18,697.992
2005-10-19,690.302
2005-10-20,693.454
2005-10-21,693.371
2005-10-24,698.689
