Date,EM (EMERGING MARKETS) GROWTH Standard (Large+Mid Cap)
2005-01-12,121.245
2005-01-13,121.949
2005-01-14,123.142
2005-01-17,124.093
2005-01-18,123.109
2005-01-19,123.148
2005-01-20,122.256
2005-01-21,122.755
2005-01-24,123.22
2005-01-25,123.448
2005-01-26,124.651
2005-01-27,124.934
2005-01-28,125.476
2005-01-31,127.2
2005-02-01,127.058
2005-02-02,127.204
2005-02-03,127.591
2005-02-04,128.306
2005-02-07,128.794
2005-02-08,128.329
2005-02-09,128.893
2005-02-10,128.844
2005-02-11,129.496
2005-02-14,131.403
2005-02-15,131.723
2005-02-16,131.475
2005-02-17,131.691
2005-02-18,132.482
2005-02-21,132.731
2005-02-22,133.594
2005-02-23,133.444
2005-02-24,134.974
2005-02-25,135.655
2005-02-28,137.32
2005-03-01,136.985
2005-03-02,135.197
2005-03-03,135.719
2005-03-04,136.287
2005-03-07,136.886
2005-03-08,136.857
2005-03-09,137.007
2005-03-10,135.691
2005-03-11,136.684
2005-03-14,134.73
2005-03-15,132.522
2005-03-16,132.033
2005-03-17,131.71
2005-03-18,131.688
2005-03-21,130.55
2005-03-22,130.046
2005-03-23,127.678
2005-03-24,127.803
2005-03-25,128.346
2005-03-28,127.796
2005-03-29,126.097
2005-03-30,126.539
2005-03-31,128.777
2005-04-01,130.282
2005-04-04,128.843
2005-04-05,128.947
2005-04-06,129.533
2005-04-07,130.112
2005-04-08,130.307
2005-04-11,130.07
2005-04-12,129.765
2005-04-13,130.111
2005-04-14,127.515
2005-04-15,125.88
2005-04-18,123.732
2005-04-19,125.144
2005-04-20,125.263
2005-04-21,125.59
2005-04-22,126.351
2005-04-25,126.835
2005-04-26,127.198
2005-04-27,126.168
2005-04-28,124.614
2005-04-29,124.715
2005-05-02,125.123
2005-05-03,125.115
2005-05-04,127.369
2005-05-05,128.593
2005-05-06,129.581
2005-05-09,129.588
2005-05-10,128.97
2005-05-11,127.931
2005-05-12,127.376
2005-05-13,127.058
2005-05-16,127.109
2005-05-17,126.828
2005-05-18,128.137
2005-05-19,129.601
2005-05-20,129.258
2005-05-23,128.969
2005-05-24,129.523
2005-05-25,129.023
2005-05-26,129.143
2005-05-27,130.794
2005-05-30,131.453
2005-05-31,130.316
2005-06-01,129.903
2005-06-02,131.038
2005-06-03,132.073
2005-06-06,131.711
2005-06-07,131.371
2005-06-08,131.886
2005-06-09,130.927
2005-06-10,131.775
2005-06-13,132.189
2005-06-14,132.471
2005-06-15,133.443
2005-06-16,133.992
2005-06-17,135.1
2005-06-20,134.899
2005-06-21,134.27
2005-06-22,135.467
2005-06-23,134.945
2005-06-24,134.163
2005-06-27,133.893
2005-06-28,134.163
2005-06-29,133.815
2005-06-30,133.772
2005-07-01,134.626
2005-07-04,134.042
2005-07-05,133.356
2005-07-06,134.07
2005-07-07,133.578
2005-07-08,133.82
2005-07-11,136.587
2005-07-12,138.422
2005-07-13,138.835
2005-07-14,140.12
2005-07-15,139.031
2005-07-18,139.45
2005-07-19,140.214
2005-07-20,140.847
2005-07-21,141.92
2005-07-22,142.417
2005-07-25,142.195
2005-07-26,141.095
2005-07-27,141.469
2005-07-28,143.079
2005-07-29,143.633
2005-08-01,144.657
2005-08-02,146.369
2005-08-03,147.368
2005-08-04,147.462
2005-08-05,146.65
2005-08-08,146.612
2005-08-09,146.824
2005-08-10,148.334
2005-08-11,148.455
2005-08-12,147.868
2005-08-15,147.699
2005-08-16,147.028
2005-08-17,146.796
2005-08-18,145.003
2005-08-19,144.186
2005-08-22,146.354
2005-08-23,145.593
2005-08-24,144.277
2005-08-25,144.601
2005-08-26,144.538
2005-08-29,143.063
2005-08-30,143.064
2005-08-31,144.376
2005-09-01,146.736
2005-09-02,148.607
2005-09-05,148.953
2005-09-06,149.367
2005-09-07,149.858
2005-09-08,150.371
2005-09-09,151.299
2005-09-12,151.746
2005-09-13,151.325
2005-09-14,151.975
2005-09-15,152.308
2005-09-16,152.833
2005-09-19,153.331
2005-09-20,154.598
2005-09-21,155.525
2005-09-22,154.158
2005-09-23,152.896
2005-09-26,154.029
2005-09-27,154.498
2005-09-28,154.916
2005-09-29,156.146
2005-09-30,157.413
2005-10-03,157.196
2005-10-04,158.032
2005-10-05,155.75
2005-10-06,152.323
2005-10-07,152.504
2005-10-10,153.774
2005-10-11,154.622
2005-10-12,151.969
2005-10-13,148.457
2005-10-14,147.626
2005-10-17,148.332
2005-10-18,147.343
2005-10-19,144.379
2005-10-20,145.269
2005-10-21,145.751
