Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2004-07-01,488.53
2004-07-02,489.425
2004-07-05,483.185
2004-07-06,477.096
2004-07-07,482.791
2004-07-08,481.574
2004-07-09,474.255
2004-07-12,464.931
2004-07-13,464.972
2004-07-14,475.462
2004-07-15,460.005
2004-07-16,467.796
2004-07-19,459.137
2004-07-20,458.415
2004-07-21,470.885
2004-07-22,458.622
2004-07-23,450.836
2004-07-26,442.659
2004-07-27,450.613
2004-07-28,447.998
2004-07-29,455.751
2004-07-30,454.456
2004-08-02,450.765
2004-08-03,452.968
2004-08-04,449.095
2004-08-05,453.282
2004-08-06,447.411
2004-08-09,442.204
2004-08-10,449.872
2004-08-11,433.251
2004-08-12,426.422
2004-08-13,431.222
2004-08-16,436.759
2004-08-17,443.255
2004-08-18,444.675
2004-08-19,450.725
2004-08-20,448.92
2004-08-23,457.616
2004-08-24,452.371
2004-08-25,455.597
2004-08-26,458.016
2004-08-27,457.336
2004-08-30,458.14
2004-08-31,455.798
2004-09-01,464.022
2004-09-02,464.077
2004-09-03,457.018
2004-09-06,456.733
2004-09-07,453.733
2004-09-08,454.533
2004-09-09,454.32
2004-09-10,466.728
2004-09-13,479.583
2004-09-14,478.867
2004-09-15,474.229
2004-09-16,475.01
2004-09-17,480.318
2004-09-20,481.251
2004-09-21,487.419
2004-09-22,489.873
2004-09-23,495.039
2004-09-24,491.941
2004-09-27,489.7
2004-09-28,490.895
2004-09-29,504.493
2004-09-30,502.99
2004-10-01,512.873
2004-10-04,513.251
2004-10-05,515.188
2004-10-06,513.551
2004-10-07,515.595
2004-10-08,515.387
2004-10-11,512.123
2004-10-12,503.869
2004-10-13,511.434
2004-10-14,508.801
2004-10-15,509.256
2004-10-18,511.167
2004-10-19,519.539
2004-10-20,512.458
2004-10-21,505.172
2004-10-22,490.076
2004-10-25,482.625
2004-10-26,490.994
2004-10-27,499.419
2004-10-28,499.296
2004-10-29,495.924
2004-11-01,504.834
2004-11-02,513.783
2004-11-03,520.196
2004-11-04,515.158
2004-11-05,518.22
2004-11-08,525.96
2004-11-09,520.602
2004-11-10,523.852
2004-11-11,530.346
2004-11-12,544.345
2004-11-15,547.835
2004-11-16,547.422
2004-11-17,553.61
2004-11-18,554.133
2004-11-19,553.178
2004-11-22,547.23
2004-11-23,551.551
2004-11-24,556.478
2004-11-25,562.864
2004-11-26,560.734
2004-11-29,565.252
2004-11-30,561.206
2004-12-01,567.516
2004-12-02,568.094
2004-12-03,571.1
2004-12-06,570.717
2004-12-07,576.984
2004-12-08,557.116
2004-12-09,546.083
2004-12-10,547.6
2004-12-13,554.181
2004-12-14,554.629
2004-12-15,557.608
2004-12-16,555.576
2004-12-17,546.966
2004-12-20,561.974
2004-12-21,558.458
2004-12-22,560.178
2004-12-23,560.581
2004-12-24,563.917
2004-12-27,569.037
2004-12-28,569.197
2004-12-29,571.401
2004-12-30,571.708
2004-12-31,569.015
2005-01-03,568.148
2005-01-04,565.918
2005-01-05,559.126
2005-01-06,552.915
2005-01-07,546.7
2005-01-10,556.204
2005-01-11,553.182
2005-01-12,544.362
2005-01-13,543.825
2005-01-14,543.533
2005-01-17,550.03
2005-01-18,548.19
2005-01-19,548.084
2005-01-20,535.743
2005-01-21,536.454
2005-01-24,531.568
2005-01-25,533.992
2005-01-26,539.969
2005-01-27,541.467
2005-01-28,535.045
2005-01-31,539.44
2005-02-01,547.274
2005-02-02,550.373
2005-02-03,542.093
2005-02-04,545.217
2005-02-07,550.996
2005-02-08,545.934
2005-02-09,553.465
2005-02-10,538.118
2005-02-11,539.947
2005-02-14,546.739
2005-02-15,550.308
2005-02-16,546.752
2005-02-17,545.605
2005-02-18,540.424
2005-02-21,540.209
2005-02-22,549.435
2005-02-23,546.13
2005-02-24,548.275
2005-02-25,557.706
2005-02-28,561.531
2005-03-01,558.62
2005-03-02,558.935
2005-03-03,559.551
2005-03-04,570.529
2005-03-07,565.515
2005-03-08,565.97
2005-03-09,568.625
2005-03-10,563.118
2005-03-11,569.362
2005-03-14,564.715
2005-03-15,564.509
2005-03-16,559.864
2005-03-17,557.33
2005-03-18,552.091
2005-03-21,543.913
2005-03-22,549.797
2005-03-23,545.532
2005-03-24,544.616
2005-03-25,544.616
2005-03-28,540.87
2005-03-29,542.884
2005-03-30,545.233
2005-03-31,545.203
2005-04-01,549.18
2005-04-04,539.919
2005-04-05,545.611
