Date,FINLAND SMALL CAP Small Cap
2004-04-08,219.422
2004-04-09,219.422
2004-04-12,218.806
2004-04-13,217.269
2004-04-14,216.432
2004-04-15,216.116
2004-04-16,217.146
2004-04-19,218.845
2004-04-20,217.089
2004-04-21,215.956
2004-04-22,216.2
2004-04-23,216.021
2004-04-26,219.336
2004-04-27,219.111
2004-04-28,216.496
2004-04-29,211.811
2004-04-30,210.738
2004-05-03,210.973
2004-05-04,212.154
2004-05-05,213.377
2004-05-06,209.951
2004-05-07,207.153
2004-05-10,200.4
2004-05-11,201.708
2004-05-12,201.437
2004-05-13,199.637
2004-05-14,198.613
2004-05-17,196.786
2004-05-18,197.202
2004-05-19,202.321
2004-05-20,200.522
2004-05-21,202.318
2004-05-24,203.597
2004-05-25,204.758
2004-05-26,205.732
2004-05-27,210.771
2004-05-28,208.854
2004-05-31,208.363
2004-06-01,210.007
2004-06-02,212.204
2004-06-03,211.751
2004-06-04,212.717
2004-06-07,216.358
2004-06-08,216.376
2004-06-09,214.191
2004-06-10,213.586
2004-06-11,212.09
2004-06-14,212.501
2004-06-15,211.048
2004-06-16,209.802
2004-06-17,211.86
2004-06-18,214.077
2004-06-21,214.549
2004-06-22,213.994
2004-06-23,214.232
2004-06-24,216.602
2004-06-25,215.891
2004-06-28,218.125
2004-06-29,217.95
2004-06-30,219.282
2004-07-01,218.765
2004-07-02,221.072
2004-07-05,220.514
2004-07-06,219.345
2004-07-07,221.882
2004-07-08,222.233
2004-07-09,221.67
2004-07-12,222.178
2004-07-13,220.878
2004-07-14,221.393
2004-07-15,219.321
2004-07-16,220.913
2004-07-19,218.169
2004-07-20,216.383
2004-07-21,215.482
2004-07-22,215.361
2004-07-23,212.635
2004-07-26,213.664
2004-07-27,212.134
2004-07-28,213.467
2004-07-29,215.115
2004-07-30,215.211
2004-08-02,216.178
2004-08-03,217.175
2004-08-04,216.028
2004-08-05,212.73
2004-08-06,215.612
2004-08-09,213.179
2004-08-10,215.772
2004-08-11,213.28
2004-08-12,213.138
2004-08-13,216.712
2004-08-16,217.011
2004-08-17,216.57
2004-08-18,214.565
2004-08-19,216.163
2004-08-20,217.348
2004-08-23,217.292
2004-08-24,215.632
2004-08-25,214.595
2004-08-26,214.329
2004-08-27,213.662
2004-08-30,214.42
2004-08-31,217.32
2004-09-01,217.056
2004-09-02,217.402
2004-09-03,216.11
2004-09-06,216.286
2004-09-07,216.821
2004-09-08,218.506
2004-09-09,221.053
2004-09-10,226.14
2004-09-13,225.194
2004-09-14,226.386
2004-09-15,223.461
2004-09-16,223.125
2004-09-17,224.042
2004-09-20,223.321
2004-09-21,225.62
2004-09-22,226.162
2004-09-23,224.552
2004-09-24,224.071
2004-09-27,224.381
2004-09-28,225.013
2004-09-29,226.37
2004-09-30,228.49
2004-10-01,230.026
2004-10-04,229.618
2004-10-05,232.498
2004-10-06,231.369
2004-10-07,231.97
2004-10-08,235.392
2004-10-11,235.842
2004-10-12,233.772
2004-10-13,233.884
2004-10-14,235.841
2004-10-15,236.719
2004-10-18,237.981
2004-10-19,239.131
2004-10-20,237.891
2004-10-21,239.043
2004-10-22,239.554
2004-10-25,241.623
2004-10-26,242.304
2004-10-27,242.091
2004-10-28,240.122
2004-10-29,239.955
2004-11-01,243.446
2004-11-02,243.401
2004-11-03,245.262
2004-11-04,247.243
2004-11-05,249.411
2004-11-08,250.698
2004-11-09,251.524
2004-11-10,253.481
2004-11-11,254.075
2004-11-12,256.424
2004-11-15,256.639
2004-11-16,257.717
2004-11-17,259.133
2004-11-18,259.312
2004-11-19,260.333
2004-11-22,259.761
2004-11-23,262.416
2004-11-24,265.036
2004-11-25,267.86
2004-11-26,268.99
2004-11-29,271.273
2004-11-30,271.122
2004-12-01,272.182
2004-12-02,272.144
2004-12-03,274.673
2004-12-06,275.824
2004-12-07,276.684
2004-12-08,271.232
2004-12-09,268.966
2004-12-10,268.193
2004-12-13,265.349
2004-12-14,265.376
2004-12-15,267.457
2004-12-16,263.61
2004-12-17,262.652
2004-12-20,268.331
2004-12-21,268.638
2004-12-22,270.472
2004-12-23,272.432
2004-12-24,273.138
2004-12-27,274.156
2004-12-28,273.93
2004-12-29,273.957
2004-12-30,276.737
2004-12-31,275.975
2005-01-03,277.168
2005-01-04,277.643
2005-01-05,275.743
2005-01-06,273.572
2005-01-07,273.789
2005-01-10,275.191
2005-01-11,275.028
2005-01-12,275.715
2005-01-13,274.644
2005-01-14,272.451
2005-01-17,274.932
2005-01-18,274.559
2005-01-19,273.978
2005-01-20,269.696
2005-01-21,271.396
2005-01-24,271.333
2005-01-25,270.223
2005-01-26,273.049
2005-01-27,273.356
2005-01-28,271.905
2005-01-31,272.355
2005-02-01,274.125
2005-02-02,278.586
2005-02-03,280.992
2005-02-04,283.491
2005-02-07,283.918
2005-02-08,282.201
2005-02-09,283.202
2005-02-10,282.254
2005-02-11,285.329
2005-02-14,287.593
2005-02-15,288.999
2005-02-16,290.185
2005-02-17,294.041
2005-02-18,295.905
2005-02-21,296.687
2005-02-22,297.801
2005-02-23,294.535
2005-02-24,296.179
2005-02-25,297.271
2005-02-28,300.417
2005-03-01,298.218
2005-03-02,300.301
2005-03-03,301.317
2005-03-04,306.13
2005-03-07,308.478
2005-03-08,311.889
2005-03-09,311.08
2005-03-10,310.318
2005-03-11,313.135
2005-03-14,310.609
2005-03-15,310.318
2005-03-16,311.515
2005-03-17,309.822
2005-03-18,307.229
2005-03-21,304.865
2005-03-22,306.044
2005-03-23,299.474
2005-03-24,301.648
2005-03-25,301.648
2005-03-28,299.531
2005-03-29,300.15
2005-03-30,299.5
2005-03-31,302.803
2005-04-01,301.67
2005-04-04,295.79
2005-04-05,299.673
2005-04-06,303.799
2005-04-07,307.147
2005-04-08,307.355
2005-04-11,309.277
2005-04-12,308.282
2005-04-13,310.394
2005-04-14,306.049
2005-04-15,303.273
2005-04-18,302.616
2005-04-19,302.393
2005-04-20,303.411
2005-04-21,303.265
2005-04-22,304.042
2005-04-25,304.223
2005-04-26,304.066
2005-04-27,298.903
2005-04-28,297.08
2005-04-29,298.422
2005-05-02,298.186
2005-05-03,300.183
2005-05-04,298.451
2005-05-05,298.094
2005-05-06,300.625
2005-05-09,299.841
2005-05-10,299.532
2005-05-11,299.681
2005-05-12,298.187
2005-05-13,297.675
2005-05-16,298.5
2005-05-17,298.755
2005-05-18,302.707
2005-05-19,303.959
2005-05-20,303.466
2005-05-23,308.044
2005-05-24,309.508
2005-05-25,308.477
2005-05-26,309.076
2005-05-27,309.929
2005-05-30,308.069
2005-05-31,307.666
2005-06-01,307.053
2005-06-02,309.728
2005-06-03,309.508
2005-06-06,309.361
2005-06-07,311.227
2005-06-08,313.214
2005-06-09,311.768
2005-06-10,312.409
2005-06-13,311.274
2005-06-14,311.903
2005-06-15,312.662
2005-06-16,314.467
2005-06-17,319.971
2005-06-20,316.969
2005-06-21,315.978
2005-06-22,315.37
2005-06-23,314.782
2005-06-24,315.735
2005-06-27,314.983
2005-06-28,313.885
2005-06-29,315.179
2005-06-30,316.463
2005-07-01,313.236
2005-07-04,311.69
2005-07-05,311.056
2005-07-06,314.035
2005-07-07,311.969
2005-07-08,314.027
2005-07-11,319.266
2005-07-12,323.919
2005-07-13,320.055
2005-07-14,321.079
2005-07-15,320.131
2005-07-18,320.705
2005-07-19,320.525
2005-07-20,321.07
2005-07-21,324.404
2005-07-22,324.199
2005-07-25,323.223
2005-07-26,321.639
2005-07-27,329.231
2005-07-28,335.019
2005-07-29,335.347
2005-08-01,338.066
2005-08-02,339.843
2005-08-03,345.68
2005-08-04,346.039
2005-08-05,339.56
2005-08-08,343.126
2005-08-09,342.333
2005-08-10,344.731
2005-08-11,343.791
2005-08-12,345.532
2005-08-15,345.507
2005-08-16,343.08
2005-08-17,339.04
2005-08-18,334.302
2005-08-19,334.671
2005-08-22,339.714
2005-08-23,338.714
2005-08-24,338.424
2005-08-25,337.725
2005-08-26,338.825
2005-08-29,335.812
2005-08-30,335.185
2005-08-31,341.598
2005-09-01,350.543
2005-09-02,352.214
2005-09-05,352.694
2005-09-06,354.254
2005-09-07,356.361
2005-09-08,353.857
2005-09-09,356.929
2005-09-12,355.368
2005-09-13,355.417
2005-09-14,356.25
2005-09-15,354.081
2005-09-16,354.396
2005-09-19,354.5
2005-09-20,358.134
2005-09-21,358.404
2005-09-22,358.253
2005-09-23,355.952
2005-09-26,356.45
2005-09-27,354.701
2005-09-28,355.06
2005-09-29,355.228
2005-09-30,358.784
2005-10-03,354.681
2005-10-04,353.725
2005-10-05,350.558
2005-10-06,351.149
2005-10-07,350.033
2005-10-10,343.501
2005-10-11,341.347
2005-10-12,339.045
2005-10-13,327.206
2005-10-14,328.155
2005-10-17,328.599
2005-10-18,325.941
2005-10-19,316.805
2005-10-20,316.377
2005-10-21,313.446
2005-10-24,317.546
2005-10-25,320.592
2005-10-26,320.876
2005-10-27,318.621
2005-10-28,313.901
2005-10-31,318.516
2005-11-01,319.797
2005-11-02,323.392
