Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2004-10-15,549.63
2004-10-18,546.585
2004-10-19,550.485
2004-10-20,549.094
2004-10-21,551.324
2004-10-22,551.169
2004-10-25,549.33
2004-10-26,552.174
2004-10-27,556.726
2004-10-28,560.211
2004-10-29,560.188
2004-11-01,564.725
2004-11-02,568.656
2004-11-03,574.272
2004-11-04,574.251
2004-11-05,583.435
2004-11-08,588.206
2004-11-09,583.741
2004-11-10,586.278
2004-11-11,591.539
2004-11-12,596.207
2004-11-15,594.879
2004-11-16,593.442
2004-11-17,599.276
2004-11-18,594.523
2004-11-19,593.874
2004-11-22,588.786
2004-11-23,593.247
2004-11-24,597.807
2004-11-25,604.814
2004-11-26,605.174
2004-11-29,606.189
2004-11-30,599.775
2004-12-01,609.115
2004-12-02,611.212
2004-12-03,614.16
2004-12-06,611.673
2004-12-07,612.547
2004-12-08,606.39
2004-12-09,600.488
2004-12-10,601.72
2004-12-13,612.44
2004-12-14,611.193
2004-12-15,615.403
2004-12-16,612.215
2004-12-17,605.95
2004-12-20,613.942
2004-12-21,610.952
2004-12-22,614.905
2004-12-23,620.74
2004-12-24,624.531
2004-12-27,627.36
2004-12-28,627.35
2004-12-29,625.201
2004-12-30,627.072
2004-12-31,627.628
2005-01-03,629.519
2005-01-04,624.057
2005-01-05,617.62
2005-01-06,612.202
2005-01-07,608.976
2005-01-10,610.22
2005-01-11,610.167
2005-01-12,612.467
2005-01-13,612.951
2005-01-14,613.188
2005-01-17,614.6
2005-01-18,609.638
2005-01-19,609.811
2005-01-20,604.756
2005-01-21,608.623
2005-01-24,609.042
2005-01-25,610.482
2005-01-26,618.407
2005-01-27,620.171
2005-01-28,619.136
2005-01-31,626.77
2005-02-01,631.856
2005-02-02,639.355
2005-02-03,635.231
2005-02-04,643.643
2005-02-07,643.094
2005-02-08,637.857
2005-02-09,636.203
2005-02-10,636.943
2005-02-11,639.323
2005-02-14,646.098
2005-02-15,649.118
2005-02-16,645.578
2005-02-17,655.253
2005-02-18,657.986
2005-02-21,656.127
2005-02-22,658.878
2005-02-23,655.75
2005-02-24,653.502
2005-02-25,661.388
2005-02-28,662.172
2005-03-01,664.215
