Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2003-10-20,571.225
2003-10-21,570.409
2003-10-22,562.63
2003-10-23,565.293
2003-10-24,563.867
2003-10-27,565.522
2003-10-28,571.393
2003-10-29,573.732
2003-10-30,573.663
2003-10-31,575.429
2003-11-03,579.981
2003-11-04,578.043
2003-11-05,577.049
2003-11-06,579.858
2003-11-07,578.484
2003-11-10,575.552
2003-11-11,574.793
2003-11-12,580.772
2003-11-13,581.133
2003-11-14,577.163
2003-11-17,573.815
2003-11-18,569.388
2003-11-19,573.255
2003-11-20,569.534
2003-11-21,570.455
2003-11-24,577.552
2003-11-25,581.061
2003-11-26,583.793
2003-11-27,583.793
2003-11-28,583.499
2003-12-01,590.344
2003-12-02,590.629
2003-12-03,590.052
2003-12-04,591.973
2003-12-05,588.769
2003-12-08,594.01
2003-12-09,590.763
2003-12-10,589.547
2003-12-11,596.502
2003-12-12,598.839
2003-12-15,595.743
2003-12-16,600.207
2003-12-17,601.478
2003-12-18,608.067
2003-12-19,609.119
2003-12-22,612.265
2003-12-23,614.059
2003-12-24,612.911
2003-12-25,612.911
2003-12-26,613.871
2003-12-29,621.254
2003-12-30,621.951
2003-12-31,622.441
2004-01-01,622.441
2004-01-02,621.888
2004-01-05,628.495
2004-01-06,628.136
2004-01-07,628.701
2004-01-08,632.133
2004-01-09,626.679
2004-01-12,629.258
2004-01-13,626.588
2004-01-14,632.074
2004-01-15,632.838
2004-01-16,636.445
2004-01-19,636.445
2004-01-20,637.588
2004-01-21,643.875
2004-01-22,641.6
2004-01-23,639.903
2004-01-26,646.61
2004-01-27,642.033
2004-01-28,633.902
2004-01-29,635.463
2004-01-30,633.946
2004-02-02,635.806
2004-02-03,634.392
2004-02-04,628.746
2004-02-05,630.838
2004-02-06,637.792
2004-02-09,637.343
2004-02-10,640.854
2004-02-11,648.859
2004-02-12,646.255
2004-02-13,643.355
2004-02-16,643.355
2004-02-17,649.58
2004-02-18,646.419
2004-02-19,644.626
2004-02-20,642.097
2004-02-23,641.948
2004-02-24,640.187
2004-02-25,643.252
2004-02-26,644.611
2004-02-27,646.077
2004-03-01,652.517
2004-03-02,650.166
2004-03-03,651.576
2004-03-04,653.216
2004-03-05,656.228
2004-03-08,652.042
2004-03-09,647.772
2004-03-10,637.4
2004-03-11,627.361
2004-03-12,635.357
2004-03-15,626.6
2004-03-16,629.779
2004-03-17,637.84
2004-03-18,637.562
2004-03-19,631.44
2004-03-22,622.236
2004-03-23,621.932
2004-03-24,618.174
2004-03-25,626.454
2004-03-26,626.835
2004-03-29,634.703
2004-03-30,638.249
2004-03-31,638.985
2004-04-01,642.709
2004-04-02,645.003
2004-04-05,648.426
2004-04-06,647.48
2004-04-07,644.239
2004-04-08,643.051
2004-04-09,643.051
2004-04-12,644.886
2004-04-13,634.523
2004-04-14,631.621
2004-04-15,632.554
2004-04-16,637.764
2004-04-19,637.336
2004-04-20,628.235
2004-04-21,631.199
2004-04-22,640.65
2004-04-23,638.348
2004-04-26,637.069
2004-04-27,638.94
2004-04-28,630.437
2004-04-29,625.092
2004-04-30,622.803
2004-05-03,628.904
2004-05-04,630.837
2004-05-05,631.617
2004-05-06,626.99
2004-05-07,614.703
2004-05-10,605.527
2004-05-11,610.276
2004-05-12,612.628
2004-05-13,612.348
2004-05-14,613.613
2004-05-17,606.987
2004-05-18,611.406
2004-05-19,609.852
2004-05-20,610.636
2004-05-21,613.504
2004-05-24,615.667
2004-05-25,625.164
2004-05-26,626.642
2004-05-27,628.985
2004-05-28,629.073
2004-05-31,629.073
2004-06-01,629.587
2004-06-02,632.146
2004-06-03,627.166
2004-06-04,630.341
2004-06-07,639.878
