Date,ITALY LARGE CAP Large Cap
2004-09-02,543.831
2004-09-03,545.66
2004-09-06,546.054
2004-09-07,546.173
2004-09-08,547.655
2004-09-09,546.475
2004-09-10,553.728
2004-09-13,555.701
2004-09-14,556.254
2004-09-15,549.184
2004-09-16,549.004
2004-09-17,553.526
2004-09-20,551.742
2004-09-21,559.99
2004-09-22,557.8
2004-09-23,559.883
2004-09-24,560.195
2004-09-27,560.574
2004-09-28,564.936
2004-09-29,565.281
2004-09-30,565.204
2004-10-01,576.211
2004-10-04,572.612
2004-10-05,577.601
2004-10-06,576.786
2004-10-07,577.8
2004-10-08,581.765
2004-10-11,580.445
2004-10-12,573.215
2004-10-13,571.558
2004-10-14,576.615
2004-10-15,580.322
2004-10-18,580.949
2004-10-19,585.68
2004-10-20,587.131
2004-10-21,590.713
2004-10-22,593.449
2004-10-25,593.81
2004-10-26,593.704
2004-10-27,600.502
2004-10-28,603.021
2004-10-29,600.111
2004-11-01,607.978
2004-11-02,608.227
2004-11-03,613.699
2004-11-04,621.282
2004-11-05,624.799
2004-11-08,628.592
2004-11-09,624.054
2004-11-10,625.095
2004-11-11,631.07
2004-11-12,633.122
2004-11-15,631.252
2004-11-16,627.739
2004-11-17,639.038
2004-11-18,638.949
2004-11-19,638.66
2004-11-22,635.697
2004-11-23,637.042
2004-11-24,643.382
2004-11-25,650.863
2004-11-26,650.681
2004-11-29,649.733
2004-11-30,648.578
2004-12-01,657.857
2004-12-02,656.822
2004-12-03,660.2
2004-12-06,665.564
2004-12-07,669.104
2004-12-08,665.562
2004-12-09,661.138
2004-12-10,663.836
2004-12-13,669.301
2004-12-14,670.962
2004-12-15,676.622
2004-12-16,671.401
2004-12-17,667.178
2004-12-20,678.805
2004-12-21,676.85
2004-12-22,684.192
2004-12-23,692.322
2004-12-24,694.117
2004-12-27,697.451
2004-12-28,698.244
2004-12-29,696.509
2004-12-30,698.765
2004-12-31,696.843
2005-01-03,691.891
2005-01-04,684.174
2005-01-05,679.893
2005-01-06,675.749
2005-01-07,671.433
2005-01-10,673.892
2005-01-11,670.924
2005-01-12,676.265
2005-01-13,677.805
2005-01-14,676.942
2005-01-17,677.236
2005-01-18,674.019
2005-01-19,676.625
2005-01-20,671.406
2005-01-21,676.202
2005-01-24,674.598
2005-01-25,672.817
2005-01-26,677.191
2005-01-27,674.939
2005-01-28,670.281
2005-01-31,677.2
2005-02-01,680.093
2005-02-02,683.969
2005-02-03,679.295
2005-02-04,686.529
2005-02-07,682.676
2005-02-08,681.276
2005-02-09,680.543
2005-02-10,687.444
2005-02-11,691.099
2005-02-14,694.023
2005-02-15,696.484
2005-02-16,693.807
2005-02-17,698.23
2005-02-18,694.098
2005-02-21,685.971
2005-02-22,689.711
2005-02-23,686.107
2005-02-24,687.762
2005-02-25,692.504
2005-02-28,699.237
2005-03-01,695.171
2005-03-02,691.42
2005-03-03,691.668
2005-03-04,703.201
2005-03-07,701.084
2005-03-08,705.495
2005-03-09,704.285
2005-03-10,701.231
2005-03-11,703.854
2005-03-14,700.309
2005-03-15,705.46
2005-03-16,702.527
2005-03-17,702.174
2005-03-18,701.416
2005-03-21,697.754
2005-03-22,699.51
2005-03-23,688.624
2005-03-24,691.732
2005-03-25,691.732
2005-03-28,686.877
2005-03-29,691.243
2005-03-30,692.788
2005-03-31,696.596
2005-04-01,698.294
2005-04-04,687.864
2005-04-05,692.494
2005-04-06,692.269
2005-04-07,703.543
2005-04-08,697.965
2005-04-11,705.147
2005-04-12,697.682
2005-04-13,697.371
2005-04-14,690.01
2005-04-15,680.646
2005-04-18,672.125
2005-04-19,673.509
2005-04-20,675.443
2005-04-21,679.958
2005-04-22,680.743
2005-04-25,675.935
2005-04-26,673.973
2005-04-27,667.14
2005-04-28,663.502
2005-04-29,665.12
2005-05-02,665.178
2005-05-03,669.367
2005-05-04,672.761
2005-05-05,675.22
2005-05-06,669.613
2005-05-09,666.314
2005-05-10,663.387
2005-05-11,659.681
2005-05-12,658.541
2005-05-13,653.366
2005-05-16,649.436
2005-05-17,644.382
2005-05-18,655.128
2005-05-19,655.815
2005-05-20,653.254
2005-05-23,662.913
2005-05-24,663.234
2005-05-25,663.189
2005-05-26,663.275
2005-05-27,663.122
2005-05-30,663.761
2005-05-31,653.324
2005-06-01,656.975
2005-06-02,657.456
2005-06-03,653.08
2005-06-06,651.614
2005-06-07,658.046
2005-06-08,662.045
2005-06-09,655.577
2005-06-10,654.307
2005-06-13,655.091
2005-06-14,657.034
2005-06-15,659.917
2005-06-16,659.887
2005-06-17,667.574
2005-06-20,661.485
2005-06-21,664.148
2005-06-22,663.499
2005-06-23,658.894
2005-06-24,654.612
2005-06-27,651.886
2005-06-28,654.048
2005-06-29,656.557
2005-06-30,662.117
2005-07-01,658.307
2005-07-04,658.622
2005-07-05,656.124
2005-07-06,661.583
2005-07-07,652.412
2005-07-08,662.719
2005-07-11,674.148
2005-07-12,677.392
2005-07-13,677.349
2005-07-14,682.111
2005-07-15,675.84
2005-07-18,677.812
2005-07-19,680.722
2005-07-20,677.513
2005-07-21,683.134
2005-07-22,683.734
2005-07-25,683.608
2005-07-26,682.486
2005-07-27,684.852
2005-07-28,689.962
2005-07-29,692.711
2005-08-01,694.036
2005-08-02,701.121
2005-08-03,706.626
2005-08-04,701.318
2005-08-05,694.964
2005-08-08,701.032
2005-08-09,705.164
2005-08-10,713.379
2005-08-11,715.176
2005-08-12,712.24
2005-08-15,708.431
2005-08-16,702.061
2005-08-17,698.211
2005-08-18,684.961
2005-08-19,694.309
2005-08-22,698.841
2005-08-23,690.087
2005-08-24,697.812
2005-08-25,694.004
2005-08-26,690.06
2005-08-29,689.881
2005-08-30,684.01
2005-08-31,698.179
2005-09-01,712.204
2005-09-02,716.247
2005-09-05,716.646
2005-09-06,718.699
2005-09-07,717.746
2005-09-08,717.492
2005-09-09,719.114
2005-09-12,710.688
2005-09-13,705.267
2005-09-14,713.058
2005-09-15,707.443
2005-09-16,712.877
2005-09-19,708.983
2005-09-20,710.362
2005-09-21,710.489
2005-09-22,700.967
2005-09-23,697.956
2005-09-26,705.091
