Date,SINGAPORE Standard (Large+Mid Cap)
2004-01-07,3687.851
2004-01-08,3706.432
2004-01-09,3721.265
2004-01-12,3691.792
2004-01-13,3733.187
2004-01-14,3729.166
2004-01-15,3657.642
2004-01-16,3664.726
2004-01-19,3682.922
2004-01-20,3717.723
2004-01-21,3790.04
2004-01-22,3805.177
2004-01-23,3799.375
2004-01-26,3820.665
2004-01-27,3822.983
2004-01-28,3750.72
2004-01-29,3690.046
2004-01-30,3730.8
2004-02-02,3733.318
2004-02-03,3718.895
2004-02-04,3691.843
2004-02-05,3680.216
2004-02-06,3732.778
2004-02-09,3830.616
2004-02-10,3803.777
2004-02-11,3808.513
2004-02-12,3789.167
2004-02-13,3792.101
2004-02-16,3783.012
2004-02-17,3841.661
2004-02-18,3836.791
2004-02-19,3815.298
2004-02-20,3804.631
2004-02-23,3784.373
2004-02-24,3783.197
2004-02-25,3762.26
2004-02-26,3768.55
2004-02-27,3773.605
2004-03-01,3780.244
2004-03-02,3763.517
2004-03-03,3717.064
2004-03-04,3732.352
2004-03-05,3742.353
2004-03-08,3732.476
2004-03-09,3733.497
2004-03-10,3693.075
2004-03-11,3650.058
2004-03-12,3621.94
2004-03-15,3633.946
2004-03-16,3627.503
2004-03-17,3646.909
2004-03-18,3669.113
2004-03-19,3670.324
2004-03-22,3628.704
2004-03-23,3647.443
2004-03-24,3683.953
2004-03-25,3669.847
2004-03-26,3654.503
2004-03-29,3680.794
2004-03-30,3712.684
2004-03-31,3756.022
2004-04-01,3795.68
2004-04-02,3802.394
2004-04-05,3818.007
2004-04-06,3787.777
2004-04-07,3811.666
2004-04-08,3840.006
2004-04-09,3840.006
2004-04-12,3856.122
2004-04-13,3843.184
2004-04-14,3768.787
2004-04-15,3721.395
2004-04-16,3752.379
2004-04-19,3721.16
2004-04-20,3740.231
2004-04-21,3713.059
2004-04-22,3738.069
2004-04-23,3748.394
2004-04-26,3708.865
2004-04-27,3714.408
2004-04-28,3711.76
2004-04-29,3626.202
2004-04-30,3694.591
2004-05-03,3686.401
2004-05-04,3759.197
2004-05-05,3821.667
2004-05-06,3803.018
2004-05-07,3728.188
2004-05-10,3582.075
2004-05-11,3606.419
2004-05-12,3613.358
2004-05-13,3552.419
2004-05-14,3498.381
2004-05-17,3386.386
2004-05-18,3429.325
2004-05-19,3548.872
2004-05-20,3491.622
2004-05-21,3560.758
2004-05-24,3577.606
2004-05-25,3548.276
2004-05-26,3572.661
2004-05-27,3605.576
2004-05-28,3614.288
2004-05-31,3623.828
2004-06-01,3619.678
2004-06-02,3611.326
2004-06-03,3577.725
2004-06-04,3601.991
2004-06-07,3674.706
2004-06-08,3670.664
2004-06-09,3673.302
2004-06-10,3681.44
2004-06-11,3659.281
2004-06-14,3633.135
2004-06-15,3658.913
2004-06-16,3677.087
2004-06-17,3636.274
2004-06-18,3600.294
2004-06-21,3581.304
2004-06-22,3580.058
2004-06-23,3595.831
2004-06-24,3626.516
2004-06-25,3644.382
2004-06-28,3662.786
2004-06-29,3671.368
2004-06-30,3673.496
2004-07-01,3697.665
2004-07-02,3689.312
2004-07-05,3714.895
2004-07-06,3726.878
2004-07-07,3750.058
2004-07-08,3720.128
2004-07-09,3746.126
2004-07-12,3780.313
2004-07-13,3785.586
2004-07-14,3773.584
2004-07-15,3761.665
2004-07-16,3777.345
2004-07-19,3805.789
2004-07-20,3759.218
2004-07-21,3757.632
2004-07-22,3731.447
2004-07-23,3678.527
2004-07-26,3698.864
2004-07-27,3717.383
2004-07-28,3721.636
2004-07-29,3767.883
2004-07-30,3773.89
2004-08-02,3778.006
2004-08-03,3817.167
2004-08-04,3796.629
2004-08-05,3851.276
2004-08-06,3827.536
2004-08-09,3828.759
2004-08-10,3792.697
2004-08-11,3773.06
2004-08-12,3775.816
2004-08-13,3748.589
2004-08-16,3763.713
2004-08-17,3776.491
2004-08-18,3800.589
2004-08-19,3844.232
2004-08-20,3817.02
2004-08-23,3830.573
2004-08-24,3837.439
2004-08-25,3856.097
2004-08-26,3860.072
2004-08-27,3855.257
2004-08-30,3827.341
2004-08-31,3860.879
2004-09-01,3897.447
2004-09-02,3942.887
2004-09-03,3919.588
2004-09-06,3917.835
2004-09-07,3978.841
2004-09-08,3969.94
2004-09-09,3973.65
2004-09-10,3990.52
2004-09-13,4034.555
