Date,FINLAND LARGE GROWTH Large Cap
2005-05-18,618.654
2005-05-19,620.451
2005-05-20,613.707
2005-05-23,617.248
2005-05-24,617.742
2005-05-25,604.521
2005-05-26,606.38
2005-05-27,607.446
2005-05-30,604.938
2005-05-31,595.723
2005-06-01,605.96
2005-06-02,610.039
2005-06-03,609.083
2005-06-06,600.407
2005-06-07,608.5
2005-06-08,607.888
2005-06-09,594.713
2005-06-10,596.444
2005-06-13,596.52
2005-06-14,602.455
2005-06-15,600.945
2005-06-16,604.406
2005-06-17,606.084
2005-06-20,602.309
2005-06-21,610.77
2005-06-22,616.677
2005-06-23,613.412
2005-06-24,615.27
2005-06-27,600.944
2005-06-28,596.892
2005-06-29,602.325
2005-06-30,593.088
2005-07-01,586.278
2005-07-04,582.869
2005-07-05,587.972
2005-07-06,594.866
2005-07-07,585.072
2005-07-08,596.854
2005-07-11,618.973
2005-07-12,620.514
2005-07-13,627.903
2005-07-14,634.896
2005-07-15,629.567
2005-07-18,629.55
2005-07-19,637.451
2005-07-20,624.651
2005-07-21,566.718
2005-07-22,552.772
2005-07-25,543.281
2005-07-26,548.149
2005-07-27,557.82
2005-07-28,567.171
2005-07-29,565.832
2005-08-01,561.811
2005-08-02,570.448
2005-08-03,573.751
2005-08-04,569.657
2005-08-05,563.82
2005-08-08,571.223
2005-08-09,579.079
2005-08-10,589.989
2005-08-11,578.648
2005-08-12,576.956
2005-08-15,570.371
2005-08-16,565.933
2005-08-17,559.7
2005-08-18,552.495
2005-08-19,554.954
2005-08-22,558.156
2005-08-23,553.379
2005-08-24,554.78
2005-08-25,550.714
2005-08-26,546.535
2005-08-29,548.995
2005-08-30,545.504
2005-08-31,551.597
2005-09-01,562.219
2005-09-02,563.653
2005-09-05,568.458
2005-09-06,570.401
2005-09-07,569.727
2005-09-08,564.613
2005-09-09,574.573
2005-09-12,567.046
2005-09-13,588.437
2005-09-14,593.213
2005-09-15,589.018
2005-09-16,582.921
2005-09-19,580.058
2005-09-20,585.557
2005-09-21,579.938
2005-09-22,575.666
2005-09-23,573.321
2005-09-26,582.604
2005-09-27,574.928
2005-09-28,577.668
2005-09-29,575.263
2005-09-30,594.476
2005-10-03,599.866
2005-10-04,604.654
2005-10-05,598.327
2005-10-06,597.844
2005-10-07,589.672
2005-10-10,590.903
2005-10-11,596.136
2005-10-12,597.35
2005-10-13,588.387
2005-10-14,597.753
2005-10-17,598.677
2005-10-18,596.182
2005-10-19,594.318
2005-10-20,566.151
2005-10-21,567.805
2005-10-24,569.07
