Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2003-12-15,458.555
2003-12-16,457.732
2003-12-17,459.855
2003-12-18,463.736
2003-12-19,464.037
2003-12-22,464.657
2003-12-23,466.963
2003-12-24,469.128
2003-12-25,469.129
2003-12-26,469.117
2003-12-29,471.739
2003-12-30,475.265
2003-12-31,479.091
2004-01-01,479.093
2004-01-02,483.172
2004-01-05,488.85
2004-01-06,491.703
2004-01-07,487.61
2004-01-08,493.565
2004-01-09,495.988
2004-01-12,493.834
2004-01-13,494.232
2004-01-14,494.673
2004-01-15,491.846
2004-01-16,488.838
2004-01-19,489.337
2004-01-20,494.673
2004-01-21,499.126
2004-01-22,502.497
2004-01-23,500.7
2004-01-26,494.614
2004-01-27,497.295
2004-01-28,498.921
2004-01-29,486.862
2004-01-30,486.753
2004-02-02,488.306
2004-02-03,491.783
2004-02-04,488.87
2004-02-05,491.491
2004-02-06,498.388
2004-02-09,503.174
2004-02-10,504.042
2004-02-11,504.413
2004-02-12,509.935
2004-02-13,507.75
2004-02-16,508.996
2004-02-17,514.962
2004-02-18,515.395
2004-02-19,515.719
2004-02-20,508.687
2004-02-23,509.01
2004-02-24,508.534
2004-02-25,506.116
2004-02-26,501.663
2004-02-27,501.786
2004-03-01,507.764
2004-03-02,504.585
2004-03-03,496.633
2004-03-04,501.223
2004-03-05,508.977
2004-03-08,508.398
2004-03-09,505.378
2004-03-10,496.753
2004-03-11,484.844
2004-03-12,483.84
2004-03-15,476.289
2004-03-16,482.996
2004-03-17,484.834
2004-03-18,484.727
2004-03-19,485.372
2004-03-22,477.651
2004-03-23,476.505
2004-03-24,472.349
2004-03-25,476.672
2004-03-26,474.734
2004-03-29,481.893
2004-03-30,483.052
2004-03-31,486.472
2004-04-01,495.029
2004-04-02,494.297
2004-04-05,491.845
2004-04-06,491.525
2004-04-07,495.307
2004-04-08,495.018
2004-04-09,495.019
2004-04-12,494.156
2004-04-13,491.294
2004-04-14,484.533
2004-04-15,484.557
2004-04-16,491.417
2004-04-19,492.551
2004-04-20,491.291
2004-04-21,484.958
2004-04-22,487.281
2004-04-23,487.957
2004-04-26,491.235
2004-04-27,493.066
2004-04-28,484.33
2004-04-29,484.349
2004-04-30,482.09
2004-05-03,483.663
2004-05-04,490.786
