Date,ACWI SMALL VALUE Small Cap
2004-07-06,536.521
2004-07-07,538.592
2004-07-08,534.182
2004-07-09,536.258
2004-07-12,537.312
2004-07-13,536.132
2004-07-14,534.392
2004-07-15,534.523
2004-07-16,535.905
2004-07-19,536.3
2004-07-20,536.979
2004-07-21,530.189
2004-07-22,526.868
2004-07-23,522.066
2004-07-26,518.792
2004-07-27,519.628
2004-07-28,520.026
2004-07-29,523.441
2004-07-30,525.604
2004-08-02,527.301
2004-08-03,525.266
2004-08-04,523.02
2004-08-05,518.719
2004-08-06,515.591
2004-08-09,513.321
2004-08-10,518.946
2004-08-11,516.447
2004-08-12,512.664
2004-08-13,513.261
2004-08-16,517.787
2004-08-17,519.347
2004-08-18,523.64
2004-08-19,524.404
2004-08-20,528.56
2004-08-23,526.892
2004-08-24,527.27
2004-08-25,529.317
2004-08-26,530.263
2004-08-27,532.197
2004-08-30,529.635
2004-08-31,532.349
2004-09-01,535.632
2004-09-02,539.199
2004-09-03,536.369
2004-09-06,538.299
2004-09-07,541.815
2004-09-08,540.755
2004-09-09,542.014
2004-09-10,545.008
2004-09-13,545.896
2004-09-14,545.691
2004-09-15,542.117
2004-09-16,545.979
2004-09-17,545.655
2004-09-20,544.249
2004-09-21,548.146
2004-09-22,543.704
2004-09-23,543.135
2004-09-24,542.902
2004-09-27,540.238
2004-09-28,543.144
2004-09-29,545.787
2004-09-30,549.985
2004-10-01,556.509
2004-10-04,558.5
2004-10-05,558.926
2004-10-06,561.476
2004-10-07,557.657
2004-10-08,558.218
2004-10-11,558.381
2004-10-12,555.66
2004-10-13,550.698
2004-10-14,548.728
2004-10-15,552.111
2004-10-18,552.236
2004-10-19,551.373
2004-10-20,551.35
2004-10-21,555.001
2004-10-22,552.742
2004-10-25,554.062
2004-10-26,557.771
2004-10-27,562.42
2004-10-28,562.546
2004-10-29,562.622
2004-11-01,564.533
2004-11-02,565.129
2004-11-03,572.551
2004-11-04,578.189
2004-11-05,580.537
2004-11-08,579.856
2004-11-09,581.266
2004-11-10,582.479
2004-11-11,585.646
2004-11-12,591.874
2004-11-15,593.509
2004-11-16,591.217
2004-11-17,595.195
2004-11-18,594.375
2004-11-19,592.606
2004-11-22,594.113
2004-11-23,597.235
2004-11-24,602.156
2004-11-25,604.285
2004-11-26,604.836
2004-11-29,606.697
2004-11-30,606.834
2004-12-01,612.119
2004-12-02,611.676
2004-12-03,614.43
2004-12-06,613.657
