Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2004-02-17,558.867
2004-02-18,558.116
2004-02-19,552.809
2004-02-20,547.289
2004-02-23,543.249
2004-02-24,542.718
2004-02-25,544.161
2004-02-26,545.804
2004-02-27,548.603
2004-03-01,556.88
2004-03-02,554.281
2004-03-03,550.938
2004-03-04,554.925
2004-03-05,559.359
2004-03-08,554.515
2004-03-09,550.729
2004-03-10,541.09
2004-03-11,534.272
2004-03-12,538.89
2004-03-15,531.322
2004-03-16,534.813
2004-03-17,541.655
2004-03-18,542.893
2004-03-19,540.582
2004-03-22,532.253
2004-03-23,531.892
2004-03-24,530.983
2004-03-25,539.845
2004-03-26,541.088
2004-03-29,548.418
2004-03-30,551.203
2004-03-31,554.835
2004-04-01,560.865
2004-04-02,565.04
2004-04-05,567.592
2004-04-06,565.531
2004-04-07,567.11
2004-04-08,566.257
2004-04-09,565.135
2004-04-12,568.215
2004-04-13,560.649
2004-04-14,555.669
2004-04-15,552.463
2004-04-16,555.466
2004-04-19,556.641
2004-04-20,552.212
2004-04-21,552.113
2004-04-22,557.667
2004-04-23,558.558
2004-04-26,558.205
2004-04-27,557.04
2004-04-28,547.916
2004-04-29,541.681
2004-04-30,535.965
2004-05-03,539.008
2004-05-04,543.222
2004-05-05,546.084
2004-05-06,538.121
2004-05-07,527.831
2004-05-10,511.278
2004-05-11,517.098
2004-05-12,518.974
2004-05-13,517.106
2004-05-14,513.511
2004-05-17,505.648
2004-05-18,511.036
2004-05-19,518.647
2004-05-20,515.053
2004-05-21,520.954
2004-05-24,524.044
2004-05-25,530.681
2004-05-26,534.403
2004-05-27,539.337
2004-05-28,541.367
2004-05-31,541.346
2004-06-01,542.186
2004-06-02,542.643
2004-06-03,535.736
2004-06-04,539.538
2004-06-07,549.861
2004-06-08,549.848
2004-06-09,543.554
2004-06-10,544.496
2004-06-11,542.51
2004-06-14,536.695
2004-06-15,541.004
2004-06-16,543.218
2004-06-17,543.073
2004-06-18,544.123
2004-06-21,543.315
2004-06-22,544.268
2004-06-23,548.421
2004-06-24,551.829
2004-06-25,554.119
2004-06-28,554.181
2004-06-29,554.484
2004-06-30,557.515
2004-07-01,553.808
2004-07-02,552.369
2004-07-05,550.264
2004-07-06,543.644
2004-07-07,545.491
2004-07-08,540.503
2004-07-09,542.78
2004-07-12,542.369
2004-07-13,540.8
2004-07-14,538.345
2004-07-15,537.252
2004-07-16,537.39
2004-07-19,536.19
2004-07-20,537.911
2004-07-21,530.113
2004-07-22,528.435
2004-07-23,521.856
2004-07-26,516.283
2004-07-27,518.504
2004-07-28,517.744
2004-07-29,521.684
2004-07-30,524.157
2004-08-02,523.82
2004-08-03,519.814
2004-08-04,515.71
2004-08-05,511.127
2004-08-06,505.508
2004-08-09,503.422
2004-08-10,509.799
2004-08-11,505.616
2004-08-12,501.078
2004-08-13,501.615
2004-08-16,506.476
2004-08-17,508.645
2004-08-18,513.715
2004-08-19,515.609
2004-08-20,519.05
2004-08-23,517.932
2004-08-24,516.227
