Date,NETHERLANDS Standard (Large+Mid Cap)
2004-07-23,7597.76
2004-07-26,7527.066
2004-07-27,7560.16
2004-07-28,7536.992
2004-07-29,7704.799
2004-07-30,7684.164
2004-08-02,7595.143
2004-08-03,7677.127
2004-08-04,7606.023
2004-08-05,7633.44
2004-08-06,7546.314
2004-08-09,7499.481
2004-08-10,7608.676
2004-08-11,7471.779
2004-08-12,7472.597
2004-08-13,7520.629
2004-08-16,7618.658
2004-08-17,7626.073
2004-08-18,7626.473
2004-08-19,7680.148
2004-08-20,7656.284
2004-08-23,7702.88
2004-08-24,7626.668
2004-08-25,7613.502
2004-08-26,7663.348
2004-08-27,7676.655
2004-08-30,7664.468
2004-08-31,7673.551
2004-09-01,7732.627
2004-09-02,7770.329
2004-09-03,7753.869
2004-09-06,7812.984
2004-09-07,7831.108
2004-09-08,7849.47
2004-09-09,7806.211
2004-09-10,7929.393
2004-09-13,7993.537
2004-09-14,7984.661
2004-09-15,7876.942
2004-09-16,7868.605
2004-09-17,7947.996
2004-09-20,7886.26
2004-09-21,8014.274
2004-09-22,7868.47
2004-09-23,7822.292
2004-09-24,7788.187
2004-09-27,7762.965
2004-09-28,7791.284
2004-09-29,7798.259
2004-09-30,7839.011
2004-10-01,7982.186
2004-10-04,7975.056
2004-10-05,8026.713
2004-10-06,8044.083
2004-10-07,8055.814
2004-10-08,8087.826
2004-10-11,8054.592
2004-10-12,7906.103
2004-10-13,7901.5
2004-10-14,7933.423
2004-10-15,7967.679
2004-10-18,7962.472
2004-10-19,8030.826
2004-10-20,7980.35
2004-10-21,8020.395
2004-10-22,8039.149
2004-10-25,7999.711
2004-10-26,8026.739
2004-10-27,8146.894
2004-10-28,8209.267
2004-10-29,8181.037
2004-11-01,8215.561
2004-11-02,8245.401
2004-11-03,8333.43
2004-11-04,8348.487
2004-11-05,8429.311
2004-11-08,8468.042
2004-11-09,8435.89
2004-11-10,8473.828
2004-11-11,8549.668
2004-11-12,8598.31
2004-11-15,8575.821
2004-11-16,8532.958
2004-11-17,8628.717
2004-11-18,8595.992
2004-11-19,8602.691
2004-11-22,8538.86
2004-11-23,8570.742
2004-11-24,8610.871
2004-11-25,8760.015
2004-11-26,8771.707
2004-11-29,8775.923
2004-11-30,8723.274
2004-12-01,8848.457
2004-12-02,8845.637
2004-12-03,8891.774
2004-12-06,8888.502
2004-12-07,8914.611
2004-12-08,8804.244
2004-12-09,8721.049
2004-12-10,8739.015
2004-12-13,8874.65
2004-12-14,8888.1
2004-12-15,8938.512
2004-12-16,8886.678
2004-12-17,8790.045
2004-12-20,8892.332
2004-12-21,8877.282
2004-12-22,8947.998
2004-12-23,9059.435
2004-12-24,9074.977
2004-12-27,9120.563
2004-12-28,9129.682
2004-12-29,9087.559
2004-12-30,9119.694
2004-12-31,9127.272
2005-01-03,9109.148
2005-01-04,8999.676
2005-01-05,8930.555
2005-01-06,8933.91
2005-01-07,8880.904
2005-01-10,8919.479
2005-01-11,8899.973
2005-01-12,8921.268
2005-01-13,8910.188
2005-01-14,8866.445
2005-01-17,8892.868
